T98G_KO1	T98G_KO2	T98G_KO3	T98G_WT1	T98G_WT2	T98G_WT3
ENSG00000000003	5.91893455142587	7.05181836051707	7.51353139098274	6.05489760921766	4.9914061924684	1.00000591272064
ENSG00000000419	65.650379355478	80.5729149171753	71.4209801154265	74.8041534771799	74.0340698048548	1.00008598273945
ENSG00000000457	7.10367839645954	7.80076987163224	6.38207563545335	6.59981794071016	6.77820991030858	1.00000661840122
ENSG00000000460	9.15721296162731	10.5939218873913	9.2484789027026	10.0648615563765	8.10446371134098	1.00001050117825
ENSG00000000971	1.40691729570018	1.44928759467802	1.51580289685837	1.15528666179176	1.32595463030194	1.00000042920628
ENSG00000001036	21.3421049053342	24.3481439428441	23.9270939480531	20.4762956749431	22.3336651510361	1.00002501575696
ENSG00000001084	65.3023239406713	64.0227126827725	61.2592601800206	33.8081416174905	34.1949854762427	1.00004269649256
ENSG00000001167	15.0671595771791	14.8177804387059	15.9767164169264	16.8409264268738	16.4028549997119	1.00002045098652
ENSG00000001460	2.16790628402144	2.36053137554019	1.94135549321986	2.00765417172108	2.44212559954555	1.00000139255842
ENSG00000001461	7.56483642338938	7.42001195089229	7.06775928491431	9.04067512782288	9.14978142242061	1.00000977213472
ENSG00000001497	41.7827203173774	43.6744495975094	43.7663834405047	42.9888129986446	44.1708191777364	1.00004720653143
ENSG00000001617	2.68325139002514	2.23374099466784	2.51229312393809	4.30472575264533	3.64452330624732	1.00000312506998
ENSG00000001629	35.2919454544271	34.7306323091339	34.9327474761031	39.0477500362741	36.549624337668	1.00004866470516
ENSG00000001630	1.57322607609326	1.3526231194744	1.46386497838113	1.65000880199263	1.69770539307332	1.00000086767565
ENSG00000001631	8.78555849149979	7.69727222504466	7.17449076975177	8.18655061773625	8.31904483196489	1.0000107533945
ENSG00000002016	3.81241876474382	3.87368324486791	4.2893021957429	5.49317085279614	4.61010334587343	1.00000356524853
ENSG00000002330	28.9128329126164	32.4109888534395	35.3823923965546	38.4439761428759	35.3517558543434	1.00004244967114
ENSG00000002549	36.0824830648318	37.9780676590561	42.6028366553174	33.4922709311699	31.8355517259539	1.000043295564
ENSG00000002587	2.29902269997352	2.53654265724415	1.9476662563029	1.51913892578837	1.40991815924513	1.00000060723751
ENSG00000002746	2.1752386334375	2.52997326195307	2.32298968714591	2.39658118017782	2.29368719815363	1.00000166941483
ENSG00000002822	6.13958217841226	7.1992975701645	7.40537178134757	8.7135573105068	7.29655855218496	1.00000742968708
ENSG00000002834	196.654081391664	199.73083464182	194.204347141773	231.941965979381	238.390839868721	1.00029916234429
ENSG00000002919	9.64985294609761	10.0460295315829	9.51915814086029	10.9424827867908	10.8442353403299	1.00001178414869
ENSG00000003056	58.6830882641756	56.1469775302631	59.8112804955937	62.1048070330335	59.8500260171772	1.00006769849125
ENSG00000003137	20.9831344900125	18.8158798817567	19.8377196755352	15.0850121585628	12.9914633115889	1.00001817206873
ENSG00000003249	4.54174779750676	4.44858664061888	5.41563192394424	6.9185505635981	8.70576472353611	1.00000728083542
ENSG00000003393	6.12851783381139	6.31493874885183	6.72043282191951	7.27906676857458	7.32072307719918	1.00000803342629
ENSG00000003402	1.93711624803425	1.93903321132958	1.79215077639142	1.91226769140869	2.04616283569551	1.00000139959347
ENSG00000003436	30.0229520999957	29.7653190482182	28.8570321441805	28.235646728996	29.742957116664	1.00004047667273
ENSG00000003509	15.373115176218	16.451749193635	14.2192057723096	15.6132001145089	17.4064237621559	1.00001806430677
ENSG00000003756	22.67867504234	23.8771192578285	24.9964940659768	27.37449453631	28.2357271321952	1.00003207474868
ENSG00000003987	1.35391942662901	1.60476513478024	1.52072371705834	1.52674086565584	1.52650284119612	1.00000088235831
ENSG00000003989	5.3804363703029	5.20786047692601	5.19793443829878	3.98702575208694	4.01007373110696	1.00000446955264
ENSG00000004059	37.3007473921325	45.9178755628925	41.8674771100436	43.7245368809738	45.7930918779775	1.00004649908601
ENSG00000004139	10.1382980882691	9.92493755117422	9.94560986752059	9.96728870801406	8.86563956467906	1.00001026320002
