Control_1	Control_2	BMI1_Knockdown_1	BMI1_Knockdown_2
ENSG00000000003	5.3613573092547	5.25605975916657	5.0326032668237	5.0945961163163
ENSG00000000419	41.3740425326268	45.0029296549766	42.6377096848083	45.4215667499813
ENSG00000000457	5.63586719181922	5.43190636072231	5.28810450395418	5.84473924621432
ENSG00000000460	7.18581672280239	7.83840402890489	8.21392737112499	7.77343959313912
ENSG00000001036	33.1022760499563	34.7844102603686	34.3865389936332	35.3710880115201
ENSG00000001084	13.910631815868	14.6918146509742	13.7212666192543	13.9544950261955
ENSG00000001167	15.3760504385277	15.6405121015717	12.4870911408571	13.2651626486438
ENSG00000001460	3.6263196148388	3.51524470634839	3.65022526512803	3.65672872544622
ENSG00000001461	19.4769622263267	19.4236454374582	15.5464740802575	15.2157847091183
ENSG00000001497	26.5091419912242	24.3420352732607	34.1334299307615	34.719391188172
ENSG00000001561	9.29846420190884	10.8253018116856	10.2350801156643	10.0450292379292
ENSG00000001617	7.01637035244993	6.65355744861639	5.75086125986078	6.16602394065765
ENSG00000001629	18.1312525268197	18.3745650309479	19.4033203005809	17.648217184117
ENSG00000001630	7.99689504243908	7.69096741304102	8.108427766065	8.52781646682534
ENSG00000001631	14.334653061702	15.3162420713109	13.3098381417356	13.2961990219988
ENSG00000002016	6.91706901858294	7.02430469184891	7.66891863148699	7.61956711804667
ENSG00000002330	48.768527167191	49.1721606855441	52.1506456241593	53.0283535189382
ENSG00000002549	42.5192150209044	40.9398650442818	46.1915502055451	45.6126586001474
ENSG00000002587	2.58262313433718	2.6453821320305	2.02011464115822	2.27919136981491
ENSG00000002726	1.69903831861218	1.5913406326565	1.50778372437647	1.42311876888384
ENSG00000002822	15.1892277834009	12.8563729882467	16.7164590223997	15.9941715896911
ENSG00000002834	29.3795341993068	27.7501748455436	22.5901855166555	22.3890634363281
ENSG00000002919	9.13595185850673	10.0369939784375	11.8100358021316	10.6840033740857
ENSG00000003056	45.1569527206642	46.5713407935083	59.9366829980553	60.0147061669962
ENSG00000003096	2.69557098614076	2.14424210714304	2.41452103778233	2.79700689913854
