D_U6_F_T0_1	D_U6_F_T0_2	F_U6_F_T8_1	F_U6_F_T8_2
ENSG00000000003	20.5091175814024	20.7907867977674	18.8993735965631	19.9535316231488
ENSG00000000419	41.2098577607696	37.257152177542	35.2824343662794	33.7143944252551
ENSG00000000457	6.00183303456175	6.33279557029238	6.13127051598842	6.36515114443338
ENSG00000000460	4.00073565378877	4.53245376268316	3.72707572046015	4.21892763418383
ENSG00000000971	4.33397400109361	4.25613144917948	4.21891042329374	4.73643635366069
ENSG00000001036	45.6408782705912	48.2044067013014	47.6675146448565	48.9112203373521
ENSG00000001084	16.620469920834	16.2452731880221	16.4130310739707	19.5902164356612
ENSG00000001167	22.6130623213924	22.6353968085663	22.7662680240978	20.7354824490186
ENSG00000001460	6.48262358913795	6.18664771424864	9.95178121087148	8.73850294048948
ENSG00000001461	6.64889743649121	6.13882671233674	7.358897449867	7.75075735608793
ENSG00000001497	33.7920952038871	34.0080834734419	29.613875108035	30.0629336896991
ENSG00000001561	2.43405635047964	2.57120610927119	2.56869450965426	2.46993235109305
ENSG00000001617	7.60154564533012	7.28791719100099	4.83571139786682	5.90030816358587
ENSG00000001629	28.0635650494533	28.7174140188041	27.7179742821922	28.0524355980619
ENSG00000001631	20.0647457949365	19.693723286803	20.0006592343257	20.0707781456797
ENSG00000002016	7.21323909126283	7.26006779469883	7.39294209650572	7.36485744691862
ENSG00000002330	9.579782743898	11.9313575602328	9.14837463329891	13.2215464449813
ENSG00000002549	25.5292851229277	24.5199543710116	22.909244091806	21.9592037436266
ENSG00000002587	2.36887609346195	2.17195298144884	2.12006157770915	2.0470408496266
ENSG00000002746	5.53280754007406	5.25183033105189	4.01138942669748	3.95302658455183
ENSG00000002822	8.73007964307673	9.03017124352191	7.38589549737258	8.56012599129125
ENSG00000002834	187.87685652084	187.056039077776	190.68382003447	177.613822044973
ENSG00000002919	19.9656127953685	19.6666529541746	18.3150395726399	16.5217664509807
ENSG00000003056	60.3916011313408	59.2989934413223	62.7683511322469	57.2229839466327
ENSG00000003096	6.75764264890174	6.74071718549802	6.24026564726973	5.54207193252079
ENSG00000003249	19.7969963979066	20.712855177012	20.9350718631649	21.1699808324382
ENSG00000003393	15.1280422516187	15.6571285953455	19.4710601427733	18.5863839016921
ENSG00000003400	4.46570921046613	4.68239504688553	3.37521685952991	3.33393737549113
ENSG00000003402	15.859925534366	15.6812500986031	21.9396883875612	20.2793245433283
ENSG00000003436	15.3760140267716	14.1884817753049	17.9901932432001	17.4101407335743
ENSG00000003509	12.7658480884807	12.5820336054848	12.5766004327523	13.6699457526661
ENSG00000003756	27.5264608228101	26.1576810569576	25.0611502178639	26.6952290030469
ENSG00000003987	1.78688567046516	1.58306813013913	1.67088912654167	1.52481146367932
ENSG00000003989	3.88722098267505	4.07292368440886	3.60487767203475	3.60141405676413
ENSG00000004059	106.565487762195	111.121908183545	102.378530474757	104.531797782121
ENSG00000004139	1.22008411978625	1.19525029893454	1.29188605692804	1.18385137146815
ENSG00000004142	49.5680866211543	51.284244777071	46.2375889544337	48.5498931298346
ENSG00000004399	53.5366674823982	54.1771097496821	42.6638792139225	44.4311683332705
ENSG00000004455	195.88341627136	200.092435163038	182.797154397928	180.80458501373
ENSG00000004478	35.6525902388193	35.2410430926082	36.8248472948911	33.2713459053127
ENSG00000004487	24.1384000570699	24.1153791369603	21.0428956041375	21.9395259399349
ENSG00000004534	17.1310207614658	17.2483487977772	14.1206876903608	15.2383860464083
ENSG00000004660	7.87703678724922	9.08921993467552	7.21979934675491	8.47544673282462
ENSG00000004700	11.837603518632	12.2194185346588	12.3773480445024	12.7830651989717
ENSG00000004766	9.10219083684578	9.91117671801307	8.93774320396474	8.89214910450139
ENSG00000004777	3.7684664250141	3.96305525365824	3.09457219522925	3.11696711461296
ENSG00000004779	59.4263999595928	55.0036855062519	51.7042461470597	54.8561146659435
ENSG00000004846	1.15136648399877	1.24066951606648	1.45300313375802	1.32514894933371
ENSG00000004864	40.7883338213929	37.4717721181644	42.2483963966543	37.9857364665522
ENSG00000004866	13.1487129490477	12.0372388967908	12.112197327594	13.0743945518069
ENSG00000004897	41.0676059054838	41.2068409319048	40.0203155185905	38.8139016750921
ENSG00000004948	28.943187863979	28.5236517318616	28.9176290488807	29.0354854052409
ENSG00000004961	25.8055707392758	25.1940899624455	27.0521981467821	25.7867446453231
ENSG00000004975	21.8515488555346	23.2554064948484	23.3655894995801	23.1042052075112
ENSG00000005007	33.7179710475129	34.7796680385097	30.5790851060697	29.9362893736825
ENSG00000005020	31.7675064267415	31.474113427716	34.2484629803579	34.7215817012505
ENSG00000005022	124.973344449389	123.960522418749	128.683238717999	125.417587011246
ENSG00000005059	4.09913421642703	3.7539790669544	3.0314703259967	3.70583847697444
ENSG00000005075	28.9759438216191	27.9450046835755	24.9094231095296	26.1123206810893
ENSG00000005100	22.3739730588102	20.7302610417554	20.012616039371	19.3234494051237
ENSG00000005108	1.12382787027454	1.12554902688254	1.06320084099167	1.05148261425411
ENSG00000005156	5.21096538677702	5.41565031209107	5.3363198231157	4.88917101341752
ENSG00000005175	18.7667288950738	19.7223746736276	19.4685850037285	19.4436389760625
ENSG00000005187	9.65650930129082	9.73796534547233	7.57381291779087	8.26680137619067
ENSG00000005189	5.08542938536474	5.84747677628528	4.12615354841033	4.02285408639352
ENSG00000005194	24.7819621992429	24.3474541854255	22.0827156984966	23.1964252894537
ENSG00000005206	9.08541148924984	9.7641885288862	7.30264981382619	8.5794933618951
ENSG00000005238	5.50714810933942	5.46744183084545	6.71769937230011	5.5941981145523
ENSG00000005249	4.01451308944506	3.99990054487414	3.6551860253479	4.00700582475568
ENSG00000005302	13.1456647873517	14.1951404433045	12.6791892518673	13.6591794578339
ENSG00000005339	15.9058515922736	16.2084548468577	19.0601483591417	19.7932457650355
ENSG00000005436	9.44780584289817	9.88803693745225	9.21763629436234	9.42862899136168
ENSG00000005448	9.43548127609867	9.42903448315468	7.83172188143568	8.12053978045055
ENSG00000005469	8.83617306755155	8.64140626616984	6.57234169395655	7.14296138445545
ENSG00000005483	22.4605638143473	23.1939834390234	18.7849301273588	19.3895355545215
ENSG00000005486	53.5330343166649	55.4106575830008	48.5235871102238	52.8479683091695
ENSG00000005700	38.5199081496005	37.8256894663133	43.407079407673	42.4235923707197
ENSG00000005801	16.3790859596378	16.1707091696085	14.6865899586397	14.688029143409
ENSG00000005810	6.73814565818172	6.46876018023785	6.39220961426807	6.48171296687339
ENSG00000005812	18.9917896070186	19.5226646965069	22.320008740744	22.7478803274326
ENSG00000005882	8.250778311694	7.92901894188595	7.35321276409974	8.63642980788831
ENSG00000005884	235.936680337039	238.007852858797	217.673065741562	217.444280954602
ENSG00000005889	6.72749735321229	7.13849313511122	7.65807305624165	7.7981731772334
ENSG00000005893	106.896144369068	104.913961154044	103.539012042341	109.098908532594
ENSG00000006007	27.8644936772427	26.8952278702609	26.0391999984681	26.7678621046708
ENSG00000006015	29.5309069704507	30.4244393684038	21.6494315632068	22.2125279332861
ENSG00000006016	4.32002702648514	4.28301756709175	4.44596554514583	4.39581873272844
ENSG00000006025	7.34452074725571	8.31858714658805	6.22964848947552	6.28984798189772
ENSG00000006062	41.9759112640943	42.0368660690079	31.5492064600858	33.1970786738075
ENSG00000006118	43.5713203124527	43.7387024554117	39.1385045700399	39.8992162542474
ENSG00000006125	78.3804272244678	76.8869086206514	77.5277725944608	78.8157160001983
ENSG00000006194	24.9098264888031	24.3440439671791	23.7564692298146	23.2479386330591
ENSG00000006210	20.9672238880534	21.1945184121204	13.5418995045151	15.991584033183
ENSG00000006282	43.9109328205821	48.6703575647159	39.9298443184714	43.6694144096091
ENSG00000006327	317.450704757509	315.211714208043	411.395965264979	431.542037091691
ENSG00000006432	19.7396329401766	19.6558211565083	22.3969372891037	23.3030126855134
ENSG00000006451	39.0078378322667	39.0280925781808	41.9222507716814	39.6211558471373
ENSG00000006453	21.425532170144	20.4177797978374	17.1066306864893	17.5207952391103
ENSG00000006459	3.03066323425795	2.92573291943689	3.45671302981162	3.59135362631957
ENSG00000006530	16.4090777337322	15.3601870287801	15.2032317712799	15.4892104215512
ENSG00000006534	33.0732979181699	33.8796258170646	21.3844326922533	21.0780567617932
