WT_ctr_1	WT_ctr_2	WT_ctr_3	WT_4Gy4h_1	WT_4Gy4h_2	WT_4Gy4h_3
ENSG00000000003	15.0122581023195	13.7834872789063	28.4463552136333	14.3327981545809	23.0597581844679	29.8597617489379
ENSG00000000419	33.9494388626792	29.0393625918519	70.6738647377415	38.3404577506978	68.3428942787681	84.5403801566898
ENSG00000000457	3.07842985530586	3.04932656075717	3.92884539716609	2.73291880207784	3.57475493171577	4.23826193465998
ENSG00000000460	5.50426760610873	5.14890985554163	7.52699502862257	5.12970648782494	6.78884698156775	7.70911361287028
ENSG00000000971	1.39242759628314	1.57283816827949	1.77832799252784	1.35257734711105	1.75580881020302	2.03650667776532
ENSG00000001036	40.0996657678839	32.9129552024599	49.2382286663363	40.3375734067118	46.9276102011531	50.3940779572561
ENSG00000001084	17.1402701848149	12.5919971486291	20.8504321621252	19.3173779578576	25.8728485468378	30.5555096697728
ENSG00000001167	26.8094095134485	26.4670365577337	29.3630859931121	28.0628564977843	35.7905320664002	35.1855435588699
ENSG00000001460	4.33674095720555	4.36866108953394	4.55744193287863	4.31741467250724	3.50654062173006	3.18296277706177
ENSG00000001461	4.18113011976092	3.99410730542791	3.5388927292928	3.7339306046815	3.54675145277147	3.28176302832682
ENSG00000001497	62.662419897843	66.4098993464074	49.0809018650207	66.1000664050268	52.3338419731767	46.3029060712021
ENSG00000001561	2.95715308796517	2.35447953178037	5.49591678801798	2.8089363941755	4.48586828650614	5.27699511531593
ENSG00000001617	21.1121741071364	26.0815526714372	21.0653077037947	15.5387649247143	15.2741671063616	14.731864547156
ENSG00000001629	19.315275826131	16.3949031505511	25.1020539697854	18.6018060246164	24.5626324083671	26.7968169061567
ENSG00000001630	43.0132118190492	33.34116618872	62.3294381681446	50.188541386189	65.7947877545688	64.2168516890539
ENSG00000001631	9.22686357468713	7.14359011256976	14.3355493328125	8.69201655148696	14.3658004855132	16.2814580328071
ENSG00000002016	9.66033002816995	9.24071264324545	9.62634093678296	8.95375811319481	8.99875475211183	8.92005978451036
ENSG00000002079	2.7583611339951	2.18633393640542	1.37567279143679	3.05779911911219	2.02160025272184	1.48436596972465
ENSG00000002330	39.0596114193964	38.983568163192	34.2933640203891	35.5598814457827	24.8370429565326	22.4913396755202
ENSG00000002549	28.7907660798865	27.9740640724623	31.8385202754277	32.2540088964897	32.9813710426671	33.2274739685508
ENSG00000002746	1.25698963660116	1.22776076216349	1.18877955411935	1.15803332527607	1.1628974465659	1.10055980016074
ENSG00000002822	52.6547510404672	60.5627069808567	39.0993603150082	49.6682964296865	33.0517389559849	31.0671971031989
ENSG00000002834	248.035093506083	235.920331090655	179.798874276028	242.914058086284	195.28874273942	158.873220034514
ENSG00000002919	11.7892262922688	12.0908083771852	11.6058970426406	12.0387112400291	12.2181477590498	10.4643625841152
ENSG00000002933	2.523916110022	3.40052487724771	3.1660999650955	2.05248102010254	2.41935354334353	2.81485532838076
