WT_1	WT_2	P95H_1	P95H_2
ENSG00000000003	8.69347221120778	9.90854374590447	8.26567087291454	11.0190575254317
ENSG00000000419	34.8665353240781	33.0698703106399	36.266066641898	33.1316222806247
ENSG00000000457	5.97802358124943	5.05427510918031	5.6640830460474	5.84400670303916
ENSG00000000460	8.73247222756066	9.17972148805753	9.63217210307393	8.98329629162996
ENSG00000000971	13.1472597035075	10.2978165988567	12.6382904002317	11.9844654213931
ENSG00000001036	8.87839835729541	9.79800529243779	8.10669449946714	9.83497492799393
ENSG00000001084	21.3584977488843	24.1930537019653	22.121883003459	24.2333524057463
ENSG00000001167	24.0071289321052	25.2215125797584	24.0307638089552	24.6069056030464
ENSG00000001460	3.27950919840486	3.19907052700255	3.42641268863788	3.04108182494873
ENSG00000001461	12.0200645586595	10.4750184644171	11.0901002162418	10.5860340598994
ENSG00000001497	34.4247040452706	35.9844584204305	32.8802823881087	35.5630611537305
ENSG00000001561	9.379464260348	12.0530018038449	9.93928203986045	12.0255566649202
ENSG00000001626	1.17891741949716	1.44447067503469	1.2203402735489	1.47125666980183
ENSG00000001629	10.3657584709254	10.0766845005336	10.9410220822015	10.4470818595271
ENSG00000001631	12.8815894733524	12.2259425586758	13.9681712466492	13.1224673592993
ENSG00000002016	8.2623684070897	7.0607707036571	9.39749448526297	8.13939182321166
ENSG00000002330	3.418997090374	2.7564102961499	3.38136427830246	3.14639186010918
ENSG00000002549	49.5644545543645	48.448372993481	49.3883429026191	46.1726828745179
ENSG00000002587	1.36587398561658	1.19700597444312	1.39221003145086	1.26801283326871
ENSG00000002822	9.234456962672	9.66469493385117	9.05143561847823	10.2689734940448
ENSG00000002834	12.0061472239541	10.9361242908044	12.0849157409831	10.8041650752952
ENSG00000002919	10.7409410444378	11.7335983143538	10.7323996730696	12.04438308196
ENSG00000003056	73.5443681019458	86.4534641183005	78.7587120790456	93.6543208440862
ENSG00000003096	7.86588840620221	8.98131941522376	7.10959030162165	6.74065992851731
