Vector.1	Vector.2	Vector.3	CD36OE.1	CD36OE.2	CD36OE.3
ENSG00000000003	42.9488154514007	40.3413918053672	44.7692333132631	46.4763980504824	41.2117617064396	50.301515556902
ENSG00000000419	74.7596182317297	68.6780218112331	69.1190153418588	68.8791275799124	71.5019624728193	80.9507288315912
ENSG00000000457	7.29000296369919	6.57219578019385	6.19870738996562	5.37560508710453	6.19288109302661	5.78306692160081
ENSG00000000460	7.23923627939564	6.32483929290785	6.35636904628246	6.11906794740983	6.46881934056673	7.2525712961689
ENSG00000001036	141.366700706527	131.998168403971	129.859346737467	125.063281809774	128.604194504678	136.624017913688
ENSG00000001084	9.41946605863904	8.72615913674773	8.68640597034064	8.36253548749379	8.78126594020614	9.13144283297151
ENSG00000001167	20.9686661251765	19.9599162775538	22.6363684501876	19.9576453123984	19.6424696047462	20.7491203240597
ENSG00000001460	3.54666000495682	4.12976423470371	4.25799663370299	3.8399208445578	3.45948577934526	4.47314321560559
ENSG00000001461	3.64602901927544	4.01988457449055	3.67220198139185	3.42080519944137	3.34824681692345	3.01857494410002
ENSG00000001497	52.4607562573846	59.8834536053887	48.4003993063659	49.6220796825967	52.2246002225004	47.3700931358786
ENSG00000001617	29.2290004692306	30.6620433499713	31.9380572357854	34.9362498850104	34.5181784681215	29.8829100325864
ENSG00000001626	1.2365387976681	1.32461351162289	1.26475700446982	1.06732605189223	1.29623753973807	1.20958729385046
ENSG00000001629	9.84610332528343	10.9055557067378	10.7441742891306	9.57919738001014	9.48413722772657	10.7934869676039
ENSG00000001630	11.1447629226954	10.6845123035558	11.12903898285	9.34192189396212	10.8519247552658	9.78348462029308
ENSG00000001631	5.50792680135481	5.45173142951325	5.88062586245533	5.26974695453693	5.42921363663531	4.82898424896652
ENSG00000002016	4.4611124971261	3.64424656523159	4.31067090499008	4.16106993236725	4.31428956205354	3.90471748194921
ENSG00000002330	22.0610710826734	23.1074426832667	23.5248799153768	29.5457804807706	25.7716374053284	24.0489867607936
ENSG00000002549	34.1645137412651	29.603188293735	31.155436821899	28.0502872930212	28.8631061589274	34.4654462717889
ENSG00000002586	13.1620749239274	45.2535910869054	26.5053896613125	1.36567170079995	39.2577619374276	32.5890192059125
ENSG00000002822	19.7833474231975	20.5991675255257	16.9123669769798	17.7704670844808	22.1553814821037	17.8651552896094
ENSG00000002834	110.829065376347	123.995411987317	114.987395161517	115.534993384363	123.495662199148	109.735723948546
ENSG00000002919	12.2158683403915	11.7428899691751	10.7858985651203	12.7448117373928	11.3023026717689	12.6386516010985
ENSG00000003056	88.3430999416771	79.3618871992008	90.283228262232	72.4471757086258	85.2358497519954	80.275196257256
ENSG00000003137	12.2390919838748	12.3786639773871	12.2677151052096	15.0682565976875	15.1609724124099	12.033561863762
ENSG00000003249	44.9532093121449	47.7233605577932	44.6892690905979	55.3110419819914	59.5898672589472	46.2041686054735
ENSG00000003393	8.61987323086354	8.09732063938025	7.77174204057033	7.84979790786491	8.57453870520677	8.14796288220275
ENSG00000003400	2.48438470045402	2.42708379325306	2.68645078054946	2.06205483984446	2.24275179316792	2.36854881362803
ENSG00000003402	3.25661768587265	3.42481761211564	3.01161461842709	3.09077524740164	3.07886633016936	2.77008173956723
ENSG00000003436	1.62643858827882	1.799513237256	1.7306933674731	1.82911012284902	1.96760182496807	2.10318463579008
ENSG00000003509	12.6001052415386	11.8002660857454	11.7591029650439	10.1207379337462	10.3802224388428	10.9669842169317
ENSG00000003756	41.8262996910676	37.2765985241774	36.6743235376957	42.7634819449543	39.7148764474959	43.354203058006
ENSG00000003989	24.1044953375572	23.8553922063257	24.7501493008723	18.5261136820332	20.1715617047856	21.0337587524741
ENSG00000004059	195.612204099724	178.257472767109	176.447531978558	235.324605020826	200.587363247648	184.687422159809
ENSG00000004142	72.5268518581534	69.6621040847606	69.5174844464134	73.2089305411493	70.2064888684311	69.3508908601206
ENSG00000004399	52.1564798430583	57.1186933541461	56.7199153860029	64.8848023238655	64.3193055981757	49.3712347523114
ENSG00000004455	163.519251513428	162.425943595382	157.833866124046	187.305165138197	159.246940824454	184.542274974516
ENSG00000004478	27.7836541698072	31.7554307019617	29.0376036093718	26.0039714120343	27.2686279360341	27.2702722469308
ENSG00000004487	43.8808263615684	43.52764505506	44.6390222418737	47.3819227107555	47.3498613581649	49.9943986749577
ENSG00000004534	27.8514151434195	27.1017164010265	26.0926531564729	27.0159549198263	25.214821014538	29.6556495390641
ENSG00000004660	5.31513685584853	6.36320193977182	5.86828751844271	6.15619676790343	6.29657977074575	6.09494770227627
