BMP5.1	BMP5.2	BMP5.3	Control1	Control2	Control3
ENSG00000000460	33.9028194529289	29.5276413927704	27.4245572745307	28.5086417999339	28.1740976501199	28.0275402135882
ENSG00000000971	47.6978164356998	45.1520607679724	41.4267906050563	60.914581710662	57.7582464725787	55.5904063927211
ENSG00000001626	146.188742550302	126.615597724428	126.339118211631	123.691592962021	121.421137759963	121.044951908223
ENSG00000001629	89.0396630297929	81.5064063944517	88.2572304840216	94.6481812700091	83.3006161516232	94.9150570725791
ENSG00000001630	153.271389809017	128.650646184061	136.353390696042	135.571055016544	136.934018216553	132.741857688292
ENSG00000002330	95.0858429265443	120.459498332226	130.821473456276	128.151742288279	112.160454706278	118.628637973113
ENSG00000002726	97.0203554082908	110.145717083341	102.572983397924	102.342889353322	105.511765099981	108.356477204557
ENSG00000003249	34.1259821563189	38.3490495026199	38.5689231795256	34.1913794046649	29.6967864844534	30.856163157005
ENSG00000003393	25.8783449969713	26.0492101621481	26.4796278570184	25.4805069951766	27.7404997506357	27.2439028775148
ENSG00000003400	8.12044219427078	8.33523235373317	7.23703705134064	9.1645166254453	8.83688250068024	8.44590951607899
ENSG00000003402	14.9874878691725	16.4461273051158	17.0043258571857	16.2168800049172	16.5622079550875	17.2051211331924
ENSG00000004059	949.260749430038	986.656616568705	944.585742904697	922.718093224201	987.098522283268	923.688521348473
ENSG00000004455	1373.98305158715	1232.52875574166	1272.51804840519	1354.11964472716	1278.87392432639	1396.11621869754
ENSG00000004660	21.8876962712653	23.374208593986	23.9590532849476	23.4604238579455	23.3717371010157	23.9698889828746
ENSG00000004766	19.272126996065	16.3913041189245	16.7740855784381	16.2595527389211	16.4862533862844	15.0750483454452
ENSG00000004777	6.90232611126956	8.51395496681013	5.67195784724451	3.48419149898833	3.53510351499454	4.8136643866698
ENSG00000004897	35.8669611941754	31.5444755026709	28.4286274690398	28.9465152062862	29.3515019208143	31.1265585969175
ENSG00000005059	3.24150243066282	4.24986976030869	2.65798904216804	3.57865761518304	4.2893820720344	4.09272362747451
ENSG00000005100	61.1050226198229	64.2225276328577	66.7968533075738	63.7679117637336	61.9620258264297	64.2152336950686
ENSG00000005187	60.4204133843252	59.6529001549592	59.9337212388087	55.8630701322172	53.7054325999163	56.181450231281
ENSG00000005194	187.87197129348	172.357291274183	202.925386135742	204.440902252776	209.336211768702	186.415489254612
