siCTR_1	siCTR_2	siCTR_3	siER_1	siER_2	siER_3
ENSG00000000003	14.4318285329674	13.0281571288095	12.8098853183052	22.7435392582731	24.6686874346489	24.2739237911223
ENSG00000000419	97.7441942514193	95.9439324278478	92.269306505062	78.616754100494	80.8184046381286	80.0599946586917
ENSG00000000457	9.05603914722739	8.63724113032299	8.63248311802442	9.93643905209268	9.32745207030868	9.37024400715611
ENSG00000000460	4.99526338092587	5.10211719799681	5.0802593174727	4.32009785196287	3.96531720811486	3.70062599162159
ENSG00000001036	34.1380398109149	36.7241408615399	34.5877833002582	36.4818225745744	42.1913604757661	41.664727114117
ENSG00000001084	21.4981267504811	20.5150502672426	20.0487388748085	24.9846158848706	25.2571123975039	24.8874849795778
ENSG00000001167	14.0909694400284	14.9873384682271	14.0500134121257	16.8524227643454	17.1311502167314	17.0066603156535
ENSG00000001460	2.86897794017579	2.7339001860855	2.61587881759798	2.79774089429596	2.94891385535163	2.85657109030242
ENSG00000001461	6.81719308246886	6.14461562630381	6.0393749420425	5.38547706946691	4.91713157267942	4.73726224255011
ENSG00000001497	20.1977288050401	21.7704475844086	21.4702105974086	20.2346262027004	21.1942091552665	21.5323260369204
ENSG00000001561	7.7476521843436	7.15932629013031	6.56455576564815	10.4521355334181	10.190653472548	9.52018629095313
ENSG00000001617	36.6004466195792	33.7646233640943	35.4653272195689	30.2976494379846	28.6616820812369	30.1025603391877
ENSG00000001629	18.2515558890504	19.0252240999955	18.4538961617288	27.0261479048633	26.4400528607501	24.6921798900807
ENSG00000001630	4.34713563279108	4.683486310228	4.84202126763757	3.50564671366535	4.11251591461251	4.23020245972786
ENSG00000001631	8.73085150493034	9.70366021493868	9.14922600191339	9.6337518936372	8.82892951397223	8.85924230530474
ENSG00000002016	3.07233761272949	3.15356013802174	3.23969457609578	2.81520743762168	2.75153050925312	2.86558329028342
ENSG00000002330	15.9341247336522	16.8804553071399	17.8842380150175	12.1250445426697	13.6398331736684	14.1320667753148
ENSG00000002549	44.3285333225389	44.314657643155	41.1679012180636	42.4604386315308	49.0125994960583	49.5348705920294
ENSG00000002726	1.3681708988594	1.2597595626589	1.31940914622916	1.365962453577	1.44748178221018	1.41589994983083
ENSG00000002822	11.1196979208413	12.0154099562093	12.535465053719	10.5475013831374	11.1772116961415	11.4043306641737
ENSG00000002834	81.4783189560013	63.0956355621178	65.1887806184546	73.5081654161669	64.5986010956882	64.4058999693045
ENSG00000002919	18.3090447800508	19.089133668119	19.4995513196536	15.1406740845736	15.8435796001196	15.9937899429368
ENSG00000003056	43.4278887825446	44.3902505995821	46.001489426686	39.322192631771	45.3485846205889	44.6063562350639
ENSG00000003096	2.61775142954311	2.73841324257728	2.68731178518462	2.05250365456274	2.23857060771498	2.16900541959317
ENSG00000003147	31.3458618114148	33.0347732621342	31.3084395496115	26.9145162726192	28.9321631696722	27.9894013357246
ENSG00000003249	67.7539806479684	64.7819677465241	69.3391923314369	74.0329441358339	73.6630044674176	74.7606038332144
ENSG00000003393	7.03658266236175	7.51680315540274	7.34930353412455	8.15299160224983	7.55256038445032	7.65128066292975
ENSG00000003402	4.32587270462041	4.45998688610428	4.42525432304804	4.87637991314874	4.47861253015958	4.48456954138067
ENSG00000003436	16.1959191114163	14.8397357297306	13.8581011515507	32.0294737882724	34.4196967192626	32.0048869593949
ENSG00000003509	6.93956367371202	6.81831239958039	6.34907945207484	6.13803186601319	6.12106625625491	5.6054227176126
ENSG00000003756	18.6648033921246	18.6201142566263	17.5921429301379	23.3420389267129	19.397391939906	19.8801143781007
ENSG00000003987	1.62705299189153	1.75697545742552	1.66522736570329	1.7196911677869	1.9552187983705	1.84878371286115
ENSG00000003989	67.1522483286966	70.9456739034652	64.4953224333122	88.036548794923	92.7056319145208	86.4884690510863
ENSG00000004059	149.850833081398	147.015487835242	154.766719945581	123.07570102451	141.460579083941	147.105151499386
ENSG00000004139	1.22126859334639	1.34502278925342	1.29914498710282	1.21715668510862	1.21317120441056	1.22914334432285
ENSG00000004142	43.2418840214647	43.5790736586913	45.4681533009127	42.0331669348943	45.1491711316106	46.4397875076838
ENSG00000004399	29.1889186027803	32.8743731182881	33.9334963297979	49.639989553331	47.7101958475199	48.6893448367914
ENSG00000004455	96.1455657363228	96.2795722477369	94.9715160305388	76.1951866454266	80.259174266714	81.2443160813493
ENSG00000004478	126.138774685936	120.17896779124	120.64344400563	72.7451648423295	75.1737251699904	76.6622673734122
ENSG00000004487	39.8333958560208	41.705005412441	40.9424665287818	29.3754164952384	27.7000555613488	28.4250164337973
ENSG00000004534	14.5443929182834	15.2267557442617	14.3038748936963	20.1020551422494	14.4308619849797	15.7229739661125
ENSG00000004660	1.75909482435186	1.77613922792423	1.84558708161845	1.84690875419385	1.6634059055558	1.91111740170687
ENSG00000004700	8.64524482908571	9.43520626545507	9.2302227204935	7.18581428518305	7.75809040357186	7.07142421107843
ENSG00000004766	6.05538432283757	6.3935155542119	5.8199368393632	5.97425803081717	5.59130078146992	5.72587888299234
ENSG00000004777	3.27283421877171	3.52856122363706	4.09867439618761	2.35246824222931	2.12573523620634	2.31735091386811
ENSG00000004779	102.201918836967	98.288303009616	93.3236798318076	96.2214421408615	119.690620642261	115.178634531947
ENSG00000004799	1.38271815637421	1.29210327104746	1.29027115552205	1.34915485179958	1.36822732543394	1.27710124654709
ENSG00000004838	1.7574486353303	1.87983668101843	1.92095703661902	1.73531883857394	2.10493466894218	2.22245906784681
ENSG00000004848	1.8693939675126	1.81514377968413	1.91693500153237	1.97242432258089	2.28203215951201	2.27848812854414
ENSG00000004864	13.2776054737979	15.5148472857833	15.1811651633773	11.4742141206166	12.3489314419729	11.8396482118412
ENSG00000004866	10.4626588033116	10.4074357015672	10.8203174591237	10.4670421546848	10.2898298706324	9.8465829327579
ENSG00000004897	16.0050118264232	18.4195130303347	17.6514617175691	14.2793576686814	16.3605726273803	15.1146946296795
