MYC_GFP_untreated_rep1	MYC_GFP_untreated_rep2	MYC_GFP_untreated_rep3	MYC_GFP_NCS_rep1	MYC_GFP_NCS_rep2	MYC_GFP_NCS_rep3
ENSG00000000003	17.5578591925591	15.7619379646872	20.8349935926082	13.0206024313479	16.2559951385659	23.9490639725407
ENSG00000000419	228.581056715069	270.581085979721	220.162940030466	232.425009136467	217.612694686855	245.558926221784
ENSG00000000457	21.4102185534877	19.332166316039	13.942407518356	25.4448387032855	33.1558478516247	21.272237242697
ENSG00000000460	13.4904210613924	9.79714598503409	5.88860613287048	13.3993498963281	16.19807723892	10.9325099066435
ENSG00000001036	76.9010416883374	63.8962999307298	81.8288119396718	49.9093247591393	52.969055927352	71.5158706332761
ENSG00000001084	16.9888074532567	16.3943874883943	15.3443469267288	19.2924013545084	18.5265325889588	14.0250167550234
ENSG00000001167	16.4110940767044	18.8079798134652	18.43829947823	23.1816880240279	21.3952740296922	19.1605166700321
ENSG00000001460	6.52626323403076	4.71111071256292	6.45581371316935	5.73796615272181	6.73259209360314	6.41582654224203
ENSG00000001461	2.88330048570959	2.37540209904562	2.55459396514176	2.22657935366964	2.10380530014539	2.67007288549145
ENSG00000001497	23.7334604255304	14.2395166351818	28.344242148886	15.6940279023256	14.5357453421373	17.1587108230216
ENSG00000001561	3.20682191885659	1.91335878376825	2.36771679999042	3.35323066520716	3.69171544594433	3.34584927086597
ENSG00000001617	2.31135795668721	2.63115127617669	2.69571098684701	2.82677690266517	1.84417835721263	2.465720626799
ENSG00000001629	14.2634227823926	14.6179591891638	9.77539179653162	16.9951345913414	19.7307731930871	14.5696432442594
ENSG00000001630	18.407716909704	14.1405998887724	4.16894130203803	18.82856867357	19.591245114931	12.0190403235603
ENSG00000001631	19.9553690028263	17.0905379104676	13.2020328708092	23.1729652285831	27.3511228683972	17.8551156550778
ENSG00000002016	7.49681357184588	5.74603011583211	5.51397013251452	8.65011945946192	9.69310246973188	6.37966835937183
ENSG00000002079	1.72044294414299	1.53924295480695	1.2821677565436	2.18413432346023	2.64764149983728	2.09806515481006
ENSG00000002330	16.6715020807732	15.7825236004536	22.3491490128151	13.0846392699466	12.358140809999	15.5391608808234
ENSG00000002549	37.5139317179925	29.9976868644732	43.095764428806	25.9818632145104	23.521936523864	31.7674085345163
ENSG00000002587	3.80765218387232	4.97486368669358	4.03915842009045	4.11996394610964	3.28304201790302	3.6179192195746
