MRTrep1	MRTrep2	MRTrep3	Controlrep1	Controlrep2	Controlrep3
ENSG00000000419	16.2111650798345	9.18844199120178	16.617434463725	19.4962920957812	18.6495326024987	18.1321070280944
ENSG00000000457	4.91900895516436	3.44990764429322	3.83372082896584	2.97559470307093	4.67291074278033	3.71559364862893
ENSG00000000938	38.586170609391	30.9093944858762	40.1052355392079	30.6978151252791	30.2400044977093	34.5153117106098
ENSG00000001036	6.69651237343244	8.47247465241249	8.21809755978598	7.07053342061742	6.3320016404526	7.10563985515163
ENSG00000001084	8.72736880784462	8.57210764777799	10.3374538645742	6.83219005014701	7.7936307977373	7.94499611018356
ENSG00000001167	3.99542085745047	3.49456340902264	3.4495196801648	4.02060039542891	3.06871184811023	3.43059452579985
ENSG00000001460	7.15480097370596	3.97571329436558	6.43308415213678	11.2154487560746	9.44563157258937	9.82434851087488
ENSG00000001461	8.89699327878672	9.91400014232093	8.7322530745641	8.20784200836399	9.40232116159934	8.22181788503584
ENSG00000001497	6.72402942245276	12.3325485614193	6.78566098927337	8.97354326741103	7.14514112518922	7.92552077448616
ENSG00000001617	5.12711195073869	5.44155440969955	5.5943017039515	6.24652665947226	6.5963818179654	6.19654680247752
ENSG00000001629	5.44056968201303	4.55435210722197	4.49270849208797	4.19122201608267	4.67587369483281	5.45187585098574
ENSG00000001631	6.11838293092702	5.32549891408402	5.37656384412634	6.18269124615839	5.29358603907065	5.48537975792018
ENSG00000002016	5.86700623268221	5.15767386711943	4.8986454050796	4.08930106862921	4.45264576513521	4.53871771186648
ENSG00000002330	7.86655572097926	7.23864443841346	7.19201510595899	8.0852109822692	11.6329199345316	7.96996984695631
ENSG00000002549	17.242002972877	14.3649581889837	13.8838298126874	16.9205564748927	20.5351472851279	19.3186752849219
ENSG00000002587	1.28008858436635	1.0491763974332	1.20213761857668	1.21923898121469	1.29039944207065	1.21308238634493
ENSG00000002822	20.5473493835329	16.7157309429936	19.411891852154	15.1411138260364	23.0427513648848	18.9623454628468
ENSG00000002834	2.38088135436176	2.39580475374322	2.09195672111932	2.04828505198024	2.28513512684464	2.14271949827216
ENSG00000002919	27.3880356455148	25.7361057736414	32.482730698348	29.9099179082912	30.3541097212947	27.5163994130666
ENSG00000003056	7.76873417226945	7.6109135749376	6.08033714346017	7.01559947458117	7.22363538979173	6.78242230932542
ENSG00000003393	1.95909561461963	1.8176174662376	1.8347753698404	2.17584352471702	1.62299925250213	1.81630277486876
ENSG00000003400	3.44615930683497	3.4649586257253	3.53913219124386	3.58918310998191	3.64525740093541	3.64720049663917
ENSG00000003402	12.2013611266343	13.012274042048	13.480185736048	10.8237761947882	8.7611761646839	9.4872136919235
ENSG00000003509	3.33091471943089	3.9019478485303	3.55133955754792	4.07465494310352	4.64949481991721	4.04375533294126
ENSG00000003756	19.8475206508197	26.8444489697216	15.0735463674025	13.7475257068469	15.4030714498342	15.6646437800803
ENSG00000003987	1.16603776083617	1.31007113997995	1.15577650527494	1.22186088683914	1.28822097267482	1.23458720643733
ENSG00000003989	1.16157546390018	1.0921976972039	1.09474373847925	1.19410090478494	1.27222571422177	1.21401496552431
ENSG00000004142	15.1264384201505	17.352349324752	16.1777339970981	19.6175224746861	15.5366492250498	17.2444252198883
ENSG00000004399	11.1117621911186	10.2815424374476	10.425642391347	10.1093065280005	13.5911396096929	12.9821832459943
ENSG00000004455	527.553033244923	593.988362552863	632.725395480765	454.295740389255	443.343389130039	504.682397727577
ENSG00000004468	6.73687053365981	7.48445926723194	7.51544934696223	13.5691814497108	8.49199557043131	10.9862734037659
ENSG00000004478	4.01053906500826	6.9236710232449	4.74000843889271	6.09400313882004	4.45144101360957	5.31212215488881
ENSG00000004487	9.74824858400799	10.5774803705204	9.06444457575078	11.7824424764893	8.68382434066601	15.1565148880059
ENSG00000004534	16.0226957479615	15.4527129029283	14.3766100438711	13.8770522275254	12.8139773024197	13.7889683497413
ENSG00000004660	1.34636918138355	1.79057649311631	1.50775517436465	1.51399839734683	1.38904668448421	1.30585579692669
ENSG00000004700	1.39132434032247	1.65813645910594	1.63766457299462	1.93146483043894	1.74027948561669	2.04757039680087
ENSG00000004766	1.93633251380632	1.80530244072516	2.14582583929284	2.04330943754213	1.85355501035545	2.16952175354393
ENSG00000004777	3.45911008573354	4.19429891051288	3.71979361853687	3.07961957412799	3.492632847115	3.65520568217419
ENSG00000004779	100.095122044317	134.878713436943	117.76565188615	145.164837874603	98.1104484549937	131.771704533975
ENSG00000004864	4.73854503700929	4.873582172815	4.78440811921996	4.64295271435897	3.98363202280498	4.33601287076466
ENSG00000004866	2.49877515177883	3.0024815485593	2.33755707609837	2.40525375426291	2.02649091885164	1.87800907467519
ENSG00000004897	16.4264174158699	16.3705342934334	16.2922829329253	20.0123275689628	17.5692889210038	18.3838886816176
ENSG00000004961	7.47001696625198	12.0563745726613	9.26305205846158	12.5665064622105	6.17456010669592	7.556771893264
ENSG00000004975	12.7672237230456	15.0770522488425	14.7515797630832	15.9966928408901	13.1446685372706	17.2243248906041
ENSG00000005007	11.4419654161274	11.8633126266972	11.3514266267005	10.6535844599679	11.0761945528741	12.2277501243799
