MCF7_ctl_1	MCF7_ctl_2	MCF7_ctl_3	MCF7_WNT5A_1	MCF7_WNT5A_2	MCF7_WNT5A_3
ENSG00000000003	8.58229257497093	8.54191919218795	9.99672193718677	8.08958873539146	8.47003829819923	9.7079001771751
ENSG00000000419	117.826796959643	113.369131072338	123.075524967791	129.431221369129	119.327305046879	124.871521721975
ENSG00000000457	7.68723742321005	8.13419181320575	7.61510901475135	7.95150792993131	8.07856721899806	8.01643017150882
ENSG00000000460	8.33383099608526	8.47977549159899	9.31894695545505	9.48623545338814	9.06517808052087	9.12061946393411
ENSG00000001036	46.3758082381679	44.9407857356604	53.4237062531644	48.6243668944885	50.0872798064475	51.603106158619
ENSG00000001084	20.764647900398	21.1747769801423	21.4696454980078	21.6189298642626	21.0438736594603	21.1394927493368
ENSG00000001167	18.4032404496289	20.0939533431621	21.7985676731712	17.2449707646472	19.3548678189816	19.5718238890155
ENSG00000001460	2.79481862090474	2.98778158798323	2.68284622889714	2.65808105764728	2.7195576027283	3.33676377630705
ENSG00000001461	4.07028616701093	4.97729316932227	3.6718214200611	3.73616139158396	4.16638068266053	3.6602117586944
ENSG00000001497	33.6659962572677	32.1003466164165	30.4544334258342	33.5005850715281	34.0594338628975	31.3953436545385
ENSG00000001561	5.90600793102232	5.77048013929185	5.59868881202827	5.96073068569011	5.4629726135285	5.83421336085263
ENSG00000001617	29.5468195153287	33.2211008108739	23.098358774346	27.3752956295228	31.1668243111833	27.8092301903656
ENSG00000001629	24.3033620203525	24.7836043307144	23.5724849500517	25.0386909918043	24.4932510129586	24.0111349413357
ENSG00000001630	4.16766707721552	3.38689255394967	3.98057236682657	3.9207775980152	3.54424571357965	3.9778129951348
ENSG00000001631	12.7311716636947	14.2948269331217	13.4096738940973	13.4760890442102	13.3302635618624	13.4053481704905
ENSG00000002016	4.48150749584037	4.89360183613319	4.63437066935371	4.3165762825755	4.65160035873037	4.28613809699067
ENSG00000002079	1.17962998464944	1.19880823836447	1.22049741283754	1.17791567293319	1.1164397623413	1.1637797907
ENSG00000002330	12.0540286975391	11.7470375780888	11.3520757303178	11.4886056165471	11.4067785994086	13.1701328193021
ENSG00000002549	38.0230809508118	35.1181576106779	36.5040383024325	41.5115615281689	38.3471987569008	35.3211162540108
ENSG00000002822	12.8699846189767	14.328071792939	14.0558762073581	11.6639135896756	14.0566550809804	13.7358336377442
ENSG00000002834	54.0326886915397	43.8982109908131	50.3855946242341	52.658537991984	45.3722973242053	48.1678809169297
ENSG00000002919	15.8231858090842	15.2979040875991	18.4846957587376	14.6651752102889	15.5844903074197	16.874442413103
ENSG00000003056	41.5255542525636	35.5080148098964	43.352028455529	41.8174681483132	38.6435315495207	40.9455208371216
ENSG00000003096	3.80349805425739	4.56038587041078	3.82853821558234	3.49155289768704	4.18642451852179	4.25743292364537
ENSG00000003137	1.35938481779014	1.37472621256598	1.42359977488342	1.48684770296587	1.39042815810619	1.46310007989903
ENSG00000003147	23.8289002292503	29.1674492510033	23.4556339517217	23.6328717328053	25.2887867501713	25.1282001871117
ENSG00000003249	39.3000350385932	27.6403436350064	34.5191964527775	40.8920057218093	28.2621874567184	33.2945871320948
ENSG00000003393	7.46704304298771	8.30041721677778	7.84006987304879	7.42628078880496	7.97040034913472	7.90124441196978
ENSG00000003402	4.99692751797349	5.44360323047468	4.63442316409133	4.49299988700532	4.97188424778026	5.09870044592698
ENSG00000003436	5.7992563956077	6.1565934820214	8.39383860516803	6.05334798693059	6.51941144388836	7.457949802258
ENSG00000003509	9.69333822942142	9.8207157855038	9.62278307185521	9.67640319464053	9.39121361263095	10.0411258506529
ENSG00000003756	32.9552902682358	39.9073855078745	32.5775236618654	32.4804636269543	36.5438218449564	31.8592862179547
ENSG00000003987	1.85707445530707	1.97247567682522	1.92981332625855	1.76832326281683	1.8436100658258	2.04017326019641
ENSG00000003989	111.730787684344	99.1330300220227	90.8044120963636	104.765315581457	89.5321350960547	96.7442625546132
ENSG00000004059	94.7935411966154	95.2900484053213	99.8425014766077	94.9778987153166	93.5358046041695	100.62093888486
ENSG00000004139	1.32642073458454	1.35573279554248	1.38045751605255	1.36308724801857	1.31201624503319	1.34480135964475
