wt_1	wt_2	wt_3	IFNgR_KO_1	IFNgR_KO_2	IFNgR_KO_3
ENSMUSG00000000001	102.723041410887	86.7171951918094	84.45568957497	106.58366336116	111.789544654863	102.545443477037
ENSMUSG00000000028	8.47970070425126	7.53575678144599	17.1274353566438	10.8813943668834	9.15642577077413	11.3308725945772
ENSMUSG00000000037	1.2344198087074	1.27520462893373	1.78446210898901	1.22009332556824	1.15306424489873	1.22012433446776
ENSMUSG00000000056	13.9264256291785	11.4943662900251	12.1435124985271	12.4203822575262	14.0048146786486	13.7855091822609
ENSMUSG00000000058	9.95337915061013	14.1217859871205	25.9594507506826	13.685968292518	13.8346671191884	11.2315362593753
ENSMUSG00000000078	222.5413868145	216.381728975585	113.735500698296	144.202670000463	176.043309693698	146.510353997103
ENSMUSG00000000085	2.01907368933032	2.5055494767966	3.01765552089716	2.53516957676336	2.44863560202232	2.49273625906068
ENSMUSG00000000088	57.8071764220532	64.0441358341997	60.8409421016297	69.0681586839365	64.4983568018469	65.7521116380084
ENSMUSG00000000093	2.98086446956946	2.81107975587158	20.4385552934405	3.94206384177959	2.36676999414267	3.31720169944191
ENSMUSG00000000094	1.43758682927102	1.53696425385566	6.99363719686925	1.67668401460785	1.32942066382297	1.47938537466459
ENSMUSG00000000127	5.62715539307127	6.43589489351811	10.6206810172345	8.53536472573659	7.55808777034465	6.47288106282209
ENSMUSG00000000131	18.3826248798941	16.5417293826944	16.148957859301	15.6311261502857	16.6654182605781	16.1822957064244
ENSMUSG00000000134	11.2539522060393	11.677626140194	10.4972895280951	12.876662608899	12.1801220590238	12.5355024621348
ENSMUSG00000000148	9.97092405394843	9.24013534147805	9.57001264126047	11.8644524388685	9.64718619213409	11.3238374740843
ENSMUSG00000000149	48.5053845183	55.5185340060765	60.6246420090974	83.4765396307474	73.2790155339687	83.7692628889905
ENSMUSG00000000168	15.6730719940006	14.2488927992788	22.3781557648561	18.3171992221606	17.3200140228856	17.9340236654997
ENSMUSG00000000171	105.894186211699	103.525633245229	123.075950947904	125.834636781209	113.484697812597	121.547473697319
ENSMUSG00000000184	10.0070362333036	13.5870266556939	25.0719220402591	9.35906801135108	8.96519538164948	10.403871822224
ENSMUSG00000000194	17.4859341929616	17.7279079586891	16.0619366662331	19.304514955222	18.2812217478074	19.5100228641455
ENSMUSG00000000202	1.38967303182757	1.35675310195208	1.30066524402647	1.98907899909999	1.77629522128355	3.31112025274482
ENSMUSG00000000204	182.419544706749	97.0630628801462	33.6480636868018	24.988003805863	63.036386219604	29.5964711215126
ENSMUSG00000000244	7.75384461588376	8.11766253508904	5.68958345147781	9.70369456086505	8.99928280668497	11.7414500876157
ENSMUSG00000000248	2.2027288923895	2.74972694745479	1.78340203148188	2.03950533401148	2.39765615627773	2.08297061425624
ENSMUSG00000000253	3.69675509368226	4.01982146516763	12.7811299099233	12.1067937604631	7.34843062071298	9.91932541628124
ENSMUSG00000000275	22.3424768058145	26.19335156208	14.1775014531977	14.2824235227975	17.7173570084511	15.7921386959404
ENSMUSG00000000276	2.67238908591987	3.13282129113777	4.46744795173093	2.76371563634888	3.01230025438442	2.86409252429934
ENSMUSG00000000278	106.929191656336	138.007708522688	131.929533882099	104.5505878135	103.925247859049	99.1337927790881
ENSMUSG00000000282	3.51965726462314	3.42550656534161	4.31354060328519	3.89358709050426	3.91588653730624	3.82813410998777
ENSMUSG00000000290	351.953295210484	350.112396587523	162.71044780707	217.321781886493	222.231797013195	248.830659963932
ENSMUSG00000000295	3.9475397876736	3.74878445260181	11.2848920044006	4.81682267991418	4.78821071892949	4.51683121803241
