Control_1	Control_2	Control_3	Control_4	CLA_1	CLA_2	CLA_3	CLA_4
ENSG00000000003	16.6466733959101	16.9538744810848	17.5392026846643	17.2620272078356	16.0523273227635	16.3739508229409	16.3365599506917	15.2723170407807
ENSG00000000419	40.9474013131316	44.9810075049079	42.6245067653184	42.4221798446985	43.4463995274645	43.4888091983207	43.6513078537499	42.4889454395167
ENSG00000000457	4.87255364347539	4.60792498817852	4.60699342620621	4.49853418633319	4.33710647716444	4.491741448528	4.7306966337053	4.35720808656571
ENSG00000000460	2.60991424959784	2.63491226007746	2.88934154888315	2.96516400765042	2.74505722796012	2.93244437181221	2.72469929557336	2.82825165450402
ENSG00000000971	63.7841445099442	64.1677975035353	63.7187774115736	58.1289597099526	62.2267862955836	60.7643657369158	58.8358606041976	60.9590082371068
ENSG00000001036	52.2051898946593	52.812929413739	52.4954327518009	54.2045759521766	53.8557985182164	52.8255351625005	54.5732411152616	53.1644635643046
ENSG00000001084	9.29208226218087	8.55112881027007	9.03840195100637	8.25666325318914	8.69125010400397	9.17770792276419	9.5046442652669	7.94887748748032
ENSG00000001167	14.5590972259942	14.2828671493013	14.1950586227353	13.8071340749697	14.0488889523638	14.4951088416082	15.8416658056295	14.3762405170534
ENSG00000001460	4.21970984395913	5.01400961652531	4.58222286924211	5.33792797720706	4.91697469919322	5.11391377502868	4.38891385375068	4.99982233724201
ENSG00000001461	19.3910863384957	19.148663889771	18.9710812755397	19.0814157898696	18.5222197315437	19.0828917759649	19.899853045403	19.265330596511
ENSG00000001497	15.4283366557593	15.4681967528398	15.4350201430354	16.0778616537376	15.2220327876416	16.2618736006694	15.27312646086	14.8976910307852
ENSG00000001617	11.7000772506497	10.2896925858101	12.0058328828988	11.9803765764918	11.0276245811199	11.8981635856344	11.2759842161642	12.2842229286872
ENSG00000001629	20.102733991519	21.0225346993267	20.2705916233828	19.6599165012978	19.1296352017803	21.2742404655366	20.8464786108567	19.9626875672954
ENSG00000001630	6.23509160205004	6.46370794997611	6.54838778115579	6.5577942197706	6.05745403035392	5.58253712893028	6.05119538472311	6.28809326888011
ENSG00000001631	9.59323847869785	8.76443885519372	9.00599356792405	8.37124223992058	9.54904576344045	8.92255750292113	9.87398304447824	9.04083474835189
ENSG00000002016	4.10955531374122	3.78864889625532	3.96361447070698	4.19365731090978	3.94396078704181	3.76040844255586	3.6993079685829	3.70639246388975
ENSG00000002330	20.8399841903632	18.5439653376635	18.9630803333762	20.5213153535165	18.3069746290184	18.5628257214422	17.6529953966817	20.7311219284286
ENSG00000002549	60.5556422231059	59.1949106342038	58.9633325870415	58.2967970321045	59.5084134662744	57.5232944451865	56.5593653162454	57.5205380634838
ENSG00000002822	8.59575682081029	7.98485616964106	8.83636293801866	8.92786778844686	8.26412986252117	8.76775300909916	8.26070750283839	8.488940372622
ENSG00000002834	85.5361957971773	86.2188020644775	86.3568919987323	84.4138205112015	86.1905286136151	87.950523965021	83.7361438581017	85.6047118475555
ENSG00000002919	8.3631266087706	8.21003695131974	8.24473025864082	8.38130639693377	7.95758420495024	7.98769905028693	7.9304601579547	8.15631035701059
ENSG00000003056	48.1906114413368	48.1865356042668	44.83315406307	47.5013077274782	46.9239834781442	44.9359413065617	47.3726648424139	46.6726493027713
ENSG00000003096	6.65187512946524	7.03023014020605	6.33973806903786	6.72684591207581	6.81936403261911	6.55953455910895	6.30303122267084	6.8472703913093
ENSG00000003249	3.56171119622456	3.01278817332347	2.98673969464834	3.58444506884823	3.21451770671322	2.92020586729296	3.18340359093806	3.09761864068103
ENSG00000003393	10.321976321103	10.735731164714	10.3702680250066	10.5533943285604	10.6232229952974	10.5852618397592	10.6673931242929	10.4979700675062
ENSG00000003400	3.64406621363765	3.51806806138623	3.59904965114674	3.61061125158909	3.79806848419281	3.56025698046083	3.63876689992543	3.75312446589385
ENSG00000003402	9.07394802924596	9.16610833344358	8.91935761803946	9.08534085131958	9.30651853040489	9.14453711112409	9.30053232461479	9.28198323452164
ENSG00000003436	150.41742851877	152.423469636973	153.038871833238	149.122216860927	152.860634082539	150.843030784442	158.089477582992	148.251850158199
ENSG00000003509	8.37739150606979	7.69176963593735	8.65495170808873	7.37882351257007	7.30971282570692	7.07649346310456	7.99788704865401	7.94331939475428
ENSG00000003756	19.3234741055379	19.2295447610531	19.1078111472865	18.7017661983366	19.3586376384657	19.0163125034447	18.967389624294	19.0421193040949
ENSG00000003987	1.30343418036085	1.37278351396546	1.38490651618432	1.30851799759616	1.33323733327328	1.33079296188501	1.30675669254374	1.34912419841472
ENSG00000003989	16.7946356888999	16.4178792947402	16.188882477016	16.3329971049363	16.7133911197879	15.8229407467467	16.0500075830353	15.931320748257
ENSG00000004059	72.5306195020263	67.5718684712114	70.6282958101174	68.6839117013189	71.0962051629835	69.5145988220952	65.7123728045751	69.539993970683
ENSG00000004139	1.55430387783997	1.49226212365171	1.49760318906537	1.51969322549247	1.46639944193979	1.54243117861	1.47029359945545	1.50792293347618
ENSG00000004142	36.4371445467716	33.8773910427813	33.486542445188	36.054016273691	33.2073258568678	34.4056342925839	33.3143378471429	33.7776481355183
ENSG00000004399	18.4002194105859	17.6794291940575	18.476531881187	19.4998345866158	18.3095410784416	18.4653520846974	17.5125407296921	18.762193481115
ENSG00000004455	83.7667992748225	84.5608243667424	80.3684022187233	83.2154921899713	77.6269982203122	85.012120033119	83.0418295518007	81.4095705905531
ENSG00000004478	12.6320638084587	13.6257991838933	12.382975612541	13.1681016817729	12.5865629090332	12.8979562515428	12.5507519198779	13.459092468535
ENSG00000004487	34.8409429228182	33.0416550718231	35.0889945430908	33.9590106696733	34.5927330210191	32.601238671734	32.9569406138775	33.4710743138658
ENSG00000004534	16.1916254069317	15.418336339544	15.0516680221492	14.4457267106638	14.812468161984	14.9401284424828	15.9339664839963	14.5608444766342
ENSG00000004660	4.90716541543484	4.40066354779789	5.45301801893395	4.80164533103039	4.76143791923293	4.77515756610147	4.53789705406739	4.9778514595626
ENSG00000004700	17.0752302182391	17.7606940414132	17.5700456588768	16.7476577304387	16.9480997483665	17.4411140204975	18.0216517370376	17.3202571809996
ENSG00000004766	6.15932340830941	6.47208748554483	6.0406004814433	5.91893440572731	6.20390739795539	6.08090153881601	6.17659789067099	5.9695737192243
