Control_1	Control_2	preS_1	preS_2
ENSG00000000003	8.97324264864626	11.1193317273341	11.5249604736211	11.7960072170607
ENSG00000000419	19.1268149637459	21.1950795292384	25.1476511690345	25.3075252103458
ENSG00000000457	3.62207419655275	3.73395115971134	4.28002559426731	3.73998533094645
ENSG00000000460	5.9101444062319	5.31311574730927	5.03710828432863	4.76232265391801
ENSG00000000971	8.98956019621442	9.00497115799029	12.2016678408733	8.67468910607066
ENSG00000001036	51.0609306561764	55.5867729902957	49.5719756287699	56.9983309746574
ENSG00000001084	7.28053216984452	8.8844032341499	8.13343288452825	12.2140431733589
ENSG00000001167	15.0477871768785	17.148598726847	17.3232382373286	16.8549413667055
ENSG00000001460	13.3764939349765	13.9860518746171	11.8340227365518	14.2403645026282
ENSG00000001461	39.7462268209345	39.7874210199046	30.4842872351098	31.4779096514497
ENSG00000001497	32.9368694295275	27.587110022516	25.9966405659964	26.0734346583693
ENSG00000001561	1.27605407778609	1.61991739698246	1.79057991782935	1.74760906985977
ENSG00000001617	6.18911255993447	11.2449966350142	8.13941851299686	11.3684573540886
ENSG00000001629	11.2802259900963	13.8185850605369	11.8804338353067	11.4335591930534
ENSG00000001630	2.15399879231621	2.89976795475041	3.22904679280522	2.85337707321245
ENSG00000001631	5.99660431481489	7.40234874782226	7.28736702868755	6.64080537261022
ENSG00000002016	4.93586698960339	4.51785778900539	4.6636297623445	4.1691422889911
ENSG00000002330	25.5983509478799	22.2520370661347	21.9166502583292	21.3736819876864
ENSG00000002549	30.4517093435204	28.8521011268142	33.3162088962566	28.5789815640404
ENSG00000002746	2.32905451654907	2.27810492331545	2.82707531289037	2.88794735261919
ENSG00000002822	19.3962658944436	17.5521828588184	18.4789114899718	18.126613605029
ENSG00000002834	234.487052974515	213.317250966447	171.816932875502	156.625459860382
ENSG00000002919	7.69845977305791	6.88858499055869	9.2305577382528	8.73360096923746
ENSG00000003056	42.4424550486929	42.3775138784068	53.1538413623753	58.4547286696088
ENSG00000003249	3.4418954995021	2.38475054910368	2.44262397297707	2.17191852372641
ENSG00000003393	9.6580285822796	10.4036524855654	12.3337256770132	10.517545359898
ENSG00000003400	1.19030966949561	1.15922747237819	1.24424713433309	1.26715116346789
ENSG00000003402	3.99354462651117	4.87262745364496	4.16378888442951	4.39734664629101
ENSG00000003436	13.823273463957	16.8865858082274	18.3798025486577	14.6531620780353
ENSG00000003509	6.00118982109566	6.0782190297757	6.6824843497903	6.6336602493944
ENSG00000003756	25.7230429853919	26.7588894900991	21.1781668235151	22.1314223931531
ENSG00000003987	1.2910204225434	1.27707449792306	1.26310680962043	1.2860765492165
ENSG00000003989	4.73285832052718	7.32109300047011	3.7419214547201	4.07821937607783
ENSG00000004059	41.1989948072105	36.1218774421538	36.0249173455243	35.4687129051135
ENSG00000004139	1.90314729917364	2.10674326144862	1.68934058955761	1.80605461484991
ENSG00000004142	54.987840161464	48.3187550824411	53.698338289735	53.9943860763257
ENSG00000004399	22.2304466764578	22.1160138720223	12.3495088817132	13.7676715333382
ENSG00000004455	156.999094858496	137.592842715085	152.738472398573	145.013578024899
ENSG00000004478	60.6723012466486	54.4326422479227	61.382399918022	69.3705626322303
ENSG00000004487	42.693373009303	36.1356285893554	37.7583481533616	36.0842673352713
ENSG00000004534	18.3475485237356	20.8011073675035	15.9006323779377	17.6119450738218
ENSG00000004660	5.60553964542637	4.54989225760753	4.87503009393362	5.7524864847738
ENSG00000004700	13.8576067702756	17.7356449387245	20.6624579968819	18.2078163568436
ENSG00000004766	3.83283936025983	3.92270373507015	4.22054100711022	3.98979940368046
ENSG00000004776	24.9548647313501	22.1245928043505	9.81743930368882	10.3042629010275
ENSG00000004777	6.56926866255029	5.29379289977342	2.76925873534684	3.62082354456529
ENSG00000004779	38.1416444280202	32.1967099949639	52.4768873228291	47.8700868354046
ENSG00000004864	7.34456777102779	7.17026765092047	9.26116530584469	8.7497690188142
ENSG00000004866	12.4711223654336	12.0718181480486	13.1066540976528	11.074764160885
ENSG00000004897	29.9647340440942	34.7327032695249	37.507866348543	31.1522474736162
ENSG00000004961	14.9854014971484	14.9284388802217	19.8492772481186	20.260226172547
ENSG00000004975	19.4600437292571	17.7527330894884	15.5668556657622	16.4670602677973
ENSG00000005007	42.250135231118	39.3349250372498	35.1030876861564	38.9152840101148
ENSG00000005020	6.22281947028179	10.1710046935189	13.1228306394328	12.4554196211073
ENSG00000005022	271.955116075587	224.661799007702	241.788644032667	254.009117027178
ENSG00000005059	5.50710398024693	3.98407991776595	3.52755884598968	2.88467358909279
ENSG00000005073	12.4625447564864	10.8502901644341	12.2433957228596	13.6332816857707
ENSG00000005075	29.1158590184089	24.0911270415019	30.4062468015436	30.9323960235745
ENSG00000005100	11.3208136071097	11.2149299602253	11.5383135237087	11.333320124511
ENSG00000005156	5.87768626025545	5.23069668787015	5.48158599053461	5.03894394711533
ENSG00000005175	9.61557460287571	11.2787039774568	12.5601035620187	12.0759062223016
ENSG00000005189	6.3314419373773	5.94143332170273	4.93243782869213	5.49779703137644
ENSG00000005194	21.222664510226	17.3466184903641	25.9469779285079	27.9440652904443
ENSG00000005206	8.21057140316268	7.98143659058255	5.21698533798716	7.25442057371653
ENSG00000005238	5.86051873207082	5.27707449855201	9.99626581414384	9.22201567247613
ENSG00000005243	39.4879065271634	36.6286277252702	34.6628134703934	36.6532810938882
ENSG00000005249	4.86440388346253	6.04061777941998	8.31714208684572	7.86873232653914
ENSG00000005302	13.9284111978716	13.9965989218249	15.6775878545916	14.9908556015141
ENSG00000005339	20.4334466050351	21.432391159484	13.3640191971791	15.4791330940578
ENSG00000005436	5.07697552653358	6.02775806092318	5.46062223070363	5.41738058945022
