C1	C2	C3	C4	BPA_1	BPA_2	BPA_3	BPA_4
ENSMUSG00000000001	12.4692300194278	13.0129117605993	12.3889740594801	13.3369267858621	12.7289687170667	11.0918045602708	11.78796262875	12.1357705412105
ENSMUSG00000000028	1.5873507129298	1.45336287852136	1.57839888290858	1.50702869329819	1.64983741339651	1.61445574382834	1.76973724251157	1.65995730151078
ENSMUSG00000000056	14.027786562848	13.1984669716303	13.189835054037	13.7367667233438	14.3303737557717	14.1918460479337	13.965721916783	14.0806795915127
ENSMUSG00000000058	14.1306728189229	12.7850621876989	12.023399249034	12.9271403922944	12.3978406259982	11.0303467024757	12.1842678807222	11.0410388804423
ENSMUSG00000000078	17.6959398209631	15.4383387200781	17.9749956808038	15.8970741525336	15.7572686567885	15.449857258791	17.6818084568065	17.2262186965272
ENSMUSG00000000085	8.45839281432837	7.80368779723115	7.92696402942468	7.90400043642585	8.3901473726098	7.92436961573846	8.10865691047576	8.35820962779498
ENSMUSG00000000088	14.6260402414732	14.327851482756	15.3745749879214	16.4729898612003	15.5003869828472	14.1142322360056	16.1910969124083	15.1529844974397
ENSMUSG00000000125	1.47014220735455	1.70827119046454	1.71637555617575	1.28782419176223	1.39713274727623	1.46699798759575	1.64189130879084	1.46784804162378
ENSMUSG00000000126	1.98410980833533	2.28583163615677	1.99558940246835	2.41820405287091	2.27309275420213	2.05765354138485	2.87448512579807	1.96408378847363
ENSMUSG00000000127	12.6833363635679	12.6457268837459	12.0368491627206	12.6411124961032	12.3323866527233	12.9317924744158	12.0464108321501	13.2349504417164
ENSMUSG00000000131	9.71513490617422	9.66977489054125	9.43519398815934	8.88401776239509	10.0065527307459	9.80735638164912	9.79104135343608	8.9662502798623
ENSMUSG00000000134	4.5634234557482	5.00116230824665	4.93930140994576	4.43414187654242	5.03075178624857	5.06401489168417	5.56574969536993	4.32500678014915
ENSMUSG00000000142	5.62689909732844	6.14182776078696	5.35638527956051	4.95817843157912	5.9952885820258	5.40237565614841	6.3271752557892	5.14699534619045
ENSMUSG00000000148	3.01515335028808	2.98616729297017	3.05477011904524	2.84821504049309	3.27580352201966	2.91539724111482	3.05574047700394	2.94427810766464
ENSMUSG00000000149	9.51400256303313	9.12733233710361	9.61777931622836	8.77529754561425	9.33220775863158	9.10663179833538	8.8652283771777	9.74524092276624
ENSMUSG00000000168	32.4332993145157	31.0321217072658	30.1232517907716	34.3613431380392	31.4441432583191	31.0677069037054	32.5588656454066	30.8790313162963
ENSMUSG00000000171	51.1023040719897	52.587713639661	45.9194679698843	52.0638929196615	48.8510183124111	46.8180497385869	49.3620207923207	52.0149241987721
ENSMUSG00000000184	24.7599324962955	23.9482526906223	26.8475769986807	23.4229471728161	25.0572202235862	22.9021851250867	25.1995141358955	22.6135549824469
ENSMUSG00000000194	8.3042223070355	7.98830404039769	8.30265259528448	7.61970046822002	7.92242130622923	8.91022146492649	8.37488985478646	8.84731546470043
ENSMUSG00000000197	22.5614286004836	22.1279859732919	20.5939389334077	20.6581843520785	22.5500354871258	22.1837843888347	21.0766253013026	22.1714410921069
ENSMUSG00000000202	2.89770474602671	3.07647567897835	2.77854464447575	2.98550172885657	3.04675379898867	2.90263021171459	2.82069195441755	2.56924075144231
ENSMUSG00000000223	16.2314019315843	15.6937343692783	15.8677358542055	16.098901009778	15.6658123505332	16.2954476754837	16.756008588348	16.5549304704913
ENSMUSG00000000247	19.5578887708064	17.7109402225576	20.8340806605593	19.081034649266	21.1990888471812	19.7920556598888	18.0815757238219	18.4907682929915
ENSMUSG00000000253	15.6954816180989	15.0683787830229	14.6633618390969	16.8170489012497	15.1950727026673	15.7108471208584	15.6795122087815	14.6309395460296
ENSMUSG00000000266	7.74748766845535	8.27225008235026	7.62151889705769	7.65476769525994	7.61535130408431	7.61752175905975	8.37717954149201	7.98742327098839
ENSMUSG00000000275	2.10188898449347	2.3114197729666	1.98549696368364	2.07986731240113	1.95278895196969	2.01362047802584	2.12670304520242	2.17624345397942
ENSMUSG00000000276	14.610123436026	14.7558801014263	14.2204042818587	15.4782430444439	14.6602741176745	13.5128176699147	14.8335070982582	13.8801650726434
ENSMUSG00000000278	4.71634797575351	5.23996918973319	4.03752886562183	4.35838562504025	4.48357194903087	4.52975305629944	5.02845952961213	4.44316402435425
ENSMUSG00000000282	11.0704741542557	11.5320922764788	12.3119055891929	11.4509197754194	12.3960936290242	12.796848486801	12.6689081324191	11.4383713181695
ENSMUSG00000000290	2.14516768666586	2.20936548452093	2.1708790629759	2.19238682001429	2.34908534829601	2.06809410664645	2.27069474296525	2.06098788550106
ENSMUSG00000000295	3.10894347311218	3.20199604375607	2.93139332122142	3.06931207842286	3.56527476836774	3.41049998056133	2.97716278401331	3.44462769428957
ENSMUSG00000000296	13.1618744098231	14.2124861637022	13.0297214656687	12.1991376788039	13.0103387246139	13.9194644170309	15.8468393755872	13.9182153891129
ENSMUSG00000000305	3.29740448393627	2.77900261089502	3.33922468271988	3.21122610622954	3.30241502515423	3.1269194768492	3.04233194670548	3.13240941054098
ENSMUSG00000000308	139.829790759604	128.832575135686	143.20770612886	127.144589000678	140.984057146056	141.803688819893	135.561804668401	142.076579457812
