Ctrl_1	Ctrl_2	Ctrl_3	Insm1_1	Insm1_2	Insm1_3
ENSMUSG00000000001	122.798643538733	119.072532725808	111.416020847374	115.505987204609	117.468897359314	114.293035025553
ENSMUSG00000000028	18.9431889125923	25.660456812476	16.9592116093717	23.1926290211091	14.7147718023598	18.7808929279557
ENSMUSG00000000037	1.41931698869648	1.92720399738281	1.54542718493772	2.25330979707862	1.49766871759797	1.58232971207252
ENSMUSG00000000056	29.2163770687123	30.1691264723998	31.1141297248885	31.0832932742131	32.9777941864135	34.6362154704235
ENSMUSG00000000058	3.93866608731927	2.81244594740276	2.56730329433656	2.41448119299739	2.78846670434644	2.80734218815481
ENSMUSG00000000078	17.6737578759735	18.275516866194	19.0113578779238	11.8490109666385	10.029787385815	12.2583237914959
ENSMUSG00000000085	14.5046374997692	15.3564093306931	13.4924850809182	12.7879179183042	14.8636317291549	13.2903812185006
ENSMUSG00000000088	87.7130948331626	89.0188449165444	85.912628379765	94.5968995951746	87.2797011976961	94.4887467139693
ENSMUSG00000000120	2.10348517930361	1.4188563956811	2.10706287405254	1.43364306593748	1.27631582088279	1.06515414710372
ENSMUSG00000000127	11.8167772575319	11.8243504867003	11.4681695419775	12.5059719175276	11.3129280404103	10.8607644274828
ENSMUSG00000000131	20.2887953937558	19.8819071916745	21.0786245472898	21.771247101403	22.4668775522782	22.1949403522524
ENSMUSG00000000134	6.8589517694109	8.28345768813021	5.82821960905909	7.23734340248644	8.25273137868737	7.72103799799401
ENSMUSG00000000142	2.90838445465901	3.54886094312925	4.08720635644948	3.0055615603848	3.10851457128073	2.71666101709008
ENSMUSG00000000148	9.53976246710034	10.6692851729689	10.9507454295079	10.2803735235432	9.58958869113372	8.86464991544391
ENSMUSG00000000149	57.0906460178771	58.3110942133131	58.0442187445688	49.9660281086488	57.92850625542	57.2335819846256
ENSMUSG00000000168	27.931700873655	28.9993114593712	29.7121842968679	30.0719255042908	28.1378430378296	30.3479283722597
ENSMUSG00000000171	68.8257618302399	67.5141852934529	66.0801884189164	65.4960320128392	61.5138531311852	61.0842365394183
ENSMUSG00000000184	148.520218997652	155.039212778275	147.799169675919	157.294876464702	131.262224418751	131.096627778288
ENSMUSG00000000194	9.74305712930198	11.1289388884804	10.6235989841917	10.6704536848525	9.35657903923925	10.0251892385977
ENSMUSG00000000202	18.4651729103656	17.4128979516126	16.2362631084566	18.2754132765923	16.8171898425715	17.2602622184306
ENSMUSG00000000223	3.11342890416947	2.06664955204166	3.01677378073688	1.90149030509025	2.10320818057932	2.43851799167509
ENSMUSG00000000247	287.569319692455	251.673928343464	243.663846201224	332.935689662395	339.673633753134	294.390920407672
ENSMUSG00000000253	3.34447251118761	4.9447933905098	4.15581757125124	3.94014533223086	4.0333297918371	4.59315106625101
ENSMUSG00000000266	1.60638015115296	1.2406294502029	1.08538191483459	1.24347305486735	1.57698938148557	1.42963710588949
ENSMUSG00000000275	2.63025963844103	1.61030830423554	4.53201803306528	7.28208392176798	3.87869677765289	2.25658422722595
ENSMUSG00000000276	6.52962945437278	5.8103729885775	5.2537080477366	5.78701232523344	5.96226403092749	5.7033825272615
ENSMUSG00000000278	18.2425252431712	18.426674051914	19.4317368877123	21.1233633221528	18.0124809138231	15.2706091101446
ENSMUSG00000000282	14.290994432772	14.5361462182873	12.7817927626798	15.055827102245	17.3053785304361	16.5061476081599
ENSMUSG00000000295	10.4653863410824	8.5139135029287	10.4821743636967	9.23527253006027	8.62386581485184	9.46553419298555
ENSMUSG00000000296	2.22803890162746	2.9060469593289	2.38155673490526	2.86270194109064	3.49936250847343	2.49582706925341
ENSMUSG00000000305	27.6949571999667	33.5473081141456	28.9323800057788	24.4640259592974	27.8950830591698	40.28970209644
ENSMUSG00000000308	3.22587852313125	2.3567115929804	1.53708254961886	2.20316747602299	2.33227435546962	2.70271802637298
ENSMUSG00000000317	1.82780606232154	1.8283856402187	1.88482748302079	1.28953228032639	1.32060078072798	1.43833183865092
ENSMUSG00000000325	28.4780865958961	30.124261730938	26.9281230850485	28.2095633227038	25.9497423668829	27.9471854454456
ENSMUSG00000000326	22.6110114098001	24.4670176764482	21.454210547416	20.9873003511827	18.8594733195522	21.5613801881999
ENSMUSG00000000339	30.7168873890609	35.1211733392165	33.3307003375431	37.4392177368167	28.4982547931927	34.563483281375
ENSMUSG00000000340	7.88194977494018	7.24082302619533	8.62351088536903	6.89482810957886	8.87477488706622	6.84938576766724
