WT_6_hr_DMSO_1	WT_6_hr_DMSO_2	WT_6_hr_DMSO_3	WT_6_hr_Tunicamycin_1	WT_6_hr_Tunicamycin_2	WT_6_hr_Tunicamycin_3
ENSMUSG00000000001	45.6256874020706	43.0334953175998	44.4557144523236	109.186256269184	100.499652662262	99.5949140652799
ENSMUSG00000000028	1.78236473866336	1.39167904099624	1.49062509204061	4.14951205451482	5.01094375985874	4.85627436047175
ENSMUSG00000000049	1544.87965040879	1427.30354535707	1502.88745499637	848.188786646068	942.557180513825	978.276740422306
ENSMUSG00000000056	18.8622723338638	17.7727591512873	16.0543122565595	7.92532519965548	10.2591798231133	10.9854310316029
ENSMUSG00000000058	2.84040355099404	2.68014552402036	2.59379423945679	2.77747951927318	2.99842435479942	3.43007130503788
ENSMUSG00000000078	3.98789804767579	3.64110281625085	3.4796557113762	11.1344087973376	10.6529304818672	9.19902006022286
ENSMUSG00000000085	3.44890240134262	3.73064938639572	3.4687442592372	3.87488466535273	4.03169175979729	4.02392216193481
ENSMUSG00000000088	49.1185197762762	41.8739118037498	42.6812925661329	31.1023442702716	34.0958016180643	36.1198345188368
ENSMUSG00000000093	1.63917912172635	2.15742992947455	2.06665339552667	2.3752953766459	2.3581020358055	2.62346443733436
ENSMUSG00000000120	1.94445481467915	1.9456539585611	2.03519514720056	1.84831946692023	1.80545991366408	1.63512425942921
ENSMUSG00000000127	3.4050583394527	4.35474908174945	3.1976991203004	5.71398812775924	5.71321165738012	7.11783993546891
ENSMUSG00000000131	5.96817451474465	7.13900945978354	6.83604495256136	9.22872944332569	8.04325164656711	7.73933676367648
ENSMUSG00000000134	4.73268692433126	4.95589787426058	5.79467070600261	12.256978366789	10.5506914082742	10.7438718326884
ENSMUSG00000000142	2.84051790912687	2.90080616288609	3.23891709716406	3.16967484757847	2.74448003624392	2.71845479363222
ENSMUSG00000000148	3.96844356749056	4.51028545819858	4.63421834871608	6.28728139803326	5.29791209434678	5.0339590643538
ENSMUSG00000000149	40.2070734307354	26.9447908082144	40.3970799903711	29.5046778998963	28.9406723899913	31.5327665915608
ENSMUSG00000000154	58.2870596919515	64.6270607076216	54.9302268163133	28.7550362035052	30.6530187753163	39.4402438569476
