emt_ut_rep1	emt_ut_rep2	emt_10d_rep1	emt_10d_rep2
ENSMUSG00000000001	96.760316057563	86.1824754884422	81.7114981269753	71.187527351335
ENSMUSG00000000028	47.9340709709235	44.4676874429018	30.7010524662096	27.2812298264876
ENSMUSG00000000056	17.442532405655	17.1202110829161	14.9210756563996	14.186421675228
ENSMUSG00000000058	188.567528001304	175.720590798155	60.55224121187	55.453944899239
ENSMUSG00000000078	101.826579338354	93.6045751311023	101.393294076337	90.8704344592554
ENSMUSG00000000085	4.87768720412579	4.70238074886741	5.45868513533171	5.77586396079864
ENSMUSG00000000088	53.3292427333236	50.1936742446011	52.1837781755127	50.9089123180244
ENSMUSG00000000126	1.09372032360597	1.0956944293444	14.8025850442425	16.9154009472033
ENSMUSG00000000127	19.6467611897897	17.5531728187297	18.4501827853201	15.512064958019
ENSMUSG00000000131	11.4388809795497	12.0406453077604	12.4860914680487	13.2605275088233
ENSMUSG00000000134	5.59335233315955	6.23651773319529	6.3932458109975	7.77568868750641
ENSMUSG00000000142	1.29216100879983	1.26102564999574	3.46477194178551	3.70954428486113
ENSMUSG00000000148	5.44040765190705	6.28410038859352	8.01989310272027	8.51872382753334
ENSMUSG00000000149	14.9058719030339	15.6204055774465	30.6696809847342	35.6445338368465
ENSMUSG00000000159	26.3269343446894	25.6989855377775	14.2599333317182	14.1807626821724
ENSMUSG00000000167	4.26504114656738	3.78763705361449	3.32447454357698	3.26016070407775
ENSMUSG00000000168	17.8106620602368	18.668677922431	19.62540185265	19.1792966140008
ENSMUSG00000000171	130.098794098622	128.133819635713	73.6514946471542	68.3770100891615
ENSMUSG00000000184	43.8058571246111	48.4349878634514	28.3403194138246	29.608826167524
ENSMUSG00000000194	12.5316435996945	12.5656405870628	16.6345452033531	16.5997567735068
ENSMUSG00000000244	1.06639250112682	1.02958151819585	1.48813597021037	1.46754732131607
ENSMUSG00000000266	4.83708829289645	5.10874126771441	6.56236946551654	6.83794899415311
ENSMUSG00000000275	14.1269927321442	16.6579368057503	9.10249381018525	10.3997386276387
ENSMUSG00000000276	7.41165132286475	7.36781251435647	5.76632791480788	5.39881425477346
ENSMUSG00000000278	68.747533304847	60.647428462179	87.1210377454125	77.397045016566
ENSMUSG00000000282	2.81335554236297	4.0386212828076	3.63826190582632	5.3409904706642
ENSMUSG00000000290	1.18333841082514	1.12836586077713	2.78506789481796	2.50587389372136
ENSMUSG00000000295	9.69903888256331	9.36247500790805	9.63979233403387	8.38623221982859
ENSMUSG00000000296	5.02419401742344	5.22635764095338	3.58549961944609	3.31365863443676
ENSMUSG00000000301	7.54048878498413	7.33510479408558	5.2698616623853	4.49783198804886
ENSMUSG00000000303	50.6051306490054	52.9660065981467	12.6609200773012	14.4389184618422
ENSMUSG00000000325	4.94624138242953	5.93667558448438	9.70101291285136	9.47099410378189
ENSMUSG00000000326	60.8025373308147	61.3447716822893	76.8923211002771	76.3878784761553
ENSMUSG00000000339	38.8853922946443	38.6104321664956	26.3758416184683	24.807298413164
ENSMUSG00000000340	5.8465227629862	4.86905826053328	2.829761660704	2.24129352209714
ENSMUSG00000000346	86.6455970831395	88.5736252654174	70.9656297620486	75.8240395878848
