PT1_A.TAF1714_DE1	PT2_B.TAF1716.1_DE2	PT3_C.TAF1716.2_DE3	GC1_D.TAF1715_DE1	GC2_E.TAF1717.1_DE2	GC3_F.TAF1717.2_DE3
ENSG00000000003	43.8851993995124	47.5742713269266	44.1032020523577	41.1255811946422	43.1814667676534	40.1942625462498
ENSG00000000419	27.7839534530747	27.4061103462462	29.1810363576603	23.8497454995518	23.188694995714	21.4898413400329
ENSG00000000457	6.51475958588999	5.9768138031218	6.37209985095267	6.49053866950852	5.8352085275521	5.42595616445091
ENSG00000000460	3.59059865166223	2.87317876164559	3.21552860816342	2.55827917233353	2.58896598321587	2.60036836759721
ENSG00000000971	1.5410484952543	1.64108030886645	1.67875316598767	2.34051720552733	2.10513061904007	1.84439111229535
ENSG00000001036	19.6308376543218	21.1668305275924	20.9702995082707	18.2199942216537	17.9776696886691	16.3214303434279
ENSG00000001084	7.04096511136748	7.05693463226617	7.21730212638161	7.03577979281379	7.0081872550595	6.155925527923
ENSG00000001167	7.9075833023636	7.3059890094772	8.59535063386382	6.787324543536	7.8366959834805	7.21106114553923
ENSG00000001460	4.81113122813111	5.35496450285854	5.44520673840254	5.29131313976558	5.73957671374169	5.18697299982016
ENSG00000001461	4.60964923468561	5.12473182995983	5.00741823568338	4.94086439208152	5.60611548723347	4.65963217385897
ENSG00000001497	15.0216218405972	13.8363693360066	13.4421846755517	11.8877038272301	12.3703203228558	11.8102272838204
ENSG00000001561	6.50407206731268	6.03244821413537	6.73030491005507	6.43224680294649	6.22658006868925	6.45093208672794
ENSG00000001617	20.9724523480306	19.2611209075915	18.4592314309716	14.0063839814671	11.9295058354391	14.5439369752164
ENSG00000001626	1.4791317205502	1.79101768812813	1.77828428002121	2.25105611817781	2.50466337397371	1.84708540263569
ENSG00000001629	8.97069624907215	9.52875067176887	10.2048314801233	10.5404792763686	10.1369626193482	9.59740776693999
ENSG00000001630	3.8868179721974	4.21457918636622	3.36764020372415	3.8056111605509	2.89423700160203	2.27125514664963
ENSG00000001631	8.71218949604631	8.61626719352529	9.36612610135762	8.72959523757088	8.55202732464857	8.80119815699067
ENSG00000002016	6.98448602268789	7.36620641188921	7.56564514417574	6.33497487534275	7.28699186093636	6.89575238646264
ENSG00000002330	5.06297073177363	5.90692629597487	5.08000420562171	5.01654640108686	4.44357115531801	4.12558693798797
ENSG00000002549	19.5071024867458	20.278143813559	20.3151628960992	21.1326583061041	20.5197668395083	18.499922831134
ENSG00000002586	24.9935245792872	23.8484940108463	22.641110501766	20.4047523902185	20.2236223981984	22.1404844781787
ENSG00000002587	1.16413607320748	1.07698261274127	1.24633066093797	1.14423166313028	1.21233119482208	1.14692957185382
ENSG00000002726	1.74973798032888	2.52963346503317	2.70432438154177	3.18822009216651	3.20731957158057	2.99245404256313
ENSG00000002746	1.13675401592955	1.26239075240914	1.28535551017239	1.45258893673015	1.62112240139684	1.38255623476696
