BL2_rep1	BL2_rep2	BL2_rep3	BL2Baff1	BL2Baff2	BL2Baff3
ENSG00000000419	63.9859330164249	63.6522293877386	61.170306819857	65.8301257791932	69.1583636316742	62.4560691811262
ENSG00000000457	7.28945665864682	6.30328164724281	7.30001710079323	6.75972482210949	6.90778089178527	7.18104838502485
ENSG00000000460	20.8064024294885	22.8996915011906	21.7968124418691	20.3814468551056	21.427571934198	20.7569252499404
ENSG00000001084	9.4017139252688	10.1541066922785	9.88926362886251	10.1041260382348	11.6080970223387	10.2133345070202
ENSG00000001167	18.5341016807147	18.3503309026687	17.6829089989378	18.5011173013255	19.1432960005031	17.480969951741
ENSG00000001460	6.47658759945387	5.2835881654233	6.18283472266431	5.60620623587696	5.66913576070358	6.29227174784934
ENSG00000001461	6.05490404245327	5.77399005097154	6.98826501488952	6.21554817121159	6.21365173815789	6.9333854414822
ENSG00000001497	70.0940512371083	70.0356156127705	60.805179215389	69.4551708866709	72.2322650390883	62.8508657524675
ENSG00000001561	5.3759340143565	6.01071042458484	6.15808343869579	5.43948396085921	6.12900086581735	5.47678931194793
ENSG00000001617	2.84519646684136	3.06713302798476	3.44971141978239	2.83199365854056	2.43857317517704	3.30901248918875
ENSG00000001629	12.9815222911623	12.1143065058226	13.1513921354114	13.5211546053556	12.8723649143092	12.8920852095522
ENSG00000001630	1.8719464694466	2.35044579251818	2.61913647173504	2.45215450003382	2.20873327865381	2.46876778854255
ENSG00000001631	18.6849694790594	17.7415870455174	18.0768199243042	17.0042586428609	18.053745116408	18.4502765950437
ENSG00000002016	6.76329526906685	7.10738438851664	7.95415642840562	7.53484982237402	7.09024331532471	7.90911912577377
ENSG00000002330	8.28647936975161	9.2856327308889	9.29339863109441	8.53894683387181	8.34861605345616	9.93040939429253
ENSG00000002549	61.1101362264757	65.9413557808979	50.1927814221065	62.1929370761193	63.6867704512454	52.075964405646
ENSG00000002822	11.4140149480431	12.2589680026444	11.7321723696797	11.8697310403446	11.5972103278987	10.5470503493381
ENSG00000002834	42.034501517004	42.9527555761388	41.6424295233357	40.005796929998	39.2138813929189	39.3734493860261
ENSG00000002919	27.1711558319445	26.3631918867971	26.8396782389192	31.7228933939119	28.3355792620404	31.1305392564356
ENSG00000003056	39.0321351765531	40.0950346918101	39.7425063786296	36.9978728026241	40.3220872163894	40.0295672550723
ENSG00000003393	4.7490853851943	4.31425309235556	4.89889176892026	4.49786826164153	4.36235207073332	5.01525639352272
ENSG00000003400	1.20957879258335	1.17968355581119	1.19796655510611	1.26753040997392	1.15819147367395	1.21127231156088
ENSG00000003402	4.92936262922277	4.74576023600699	5.92276557419822	4.82889014986399	5.18436151431947	6.05700201978109
ENSG00000003436	1.94283690037754	1.84929465094482	2.32375630171652	2.14157400472589	2.3122308634547	2.28195593122181
ENSG00000003509	15.6683769217262	18.2950358829691	18.3212417795365	16.2895752557317	17.0014442084864	18.3182931962334
ENSG00000003756	32.7888842117698	33.6406338900172	34.8880928669467	33.5010845863423	33.062652790895	35.1391137543505
ENSG00000004059	108.057512294464	106.436639075067	110.100153885613	106.864617528181	101.500146886508	113.499557920427
ENSG00000004142	67.0078331116657	71.8575036134166	62.5859429281702	71.4193478334248	68.4577737867876	63.0347731359088
ENSG00000004399	1.28771608699488	1.32340000572276	1.46709062717552	1.42227617384851	1.35250786803466	1.36192072723604
ENSG00000004455	310.856981172342	331.471320833197	278.480654001136	314.507908482543	321.791361022885	284.420336778303
ENSG00000004468	24.2591545554828	22.1691527589425	20.7146840126	23.6851189319973	20.745223301211	18.7946472767246
ENSG00000004478	91.2943290059755	99.5213400744844	73.3025329611467	92.4981367267142	100.489125862944	74.0382996674061
ENSG00000004487	88.3957483686724	87.6362659247721	81.9357585521439	85.8531543689871	86.8298430361763	79.8699809496158
ENSG00000004534	52.5826112541497	50.8611472459593	52.5934141793728	53.8640090108466	52.4604969540191	54.4953366026851
