C1	C2	C3	X5_uM_thapsigargin_rep1	X5_uM_thapsigargin_rep2	X5_uM_thapsigargin_rep3
ENSMUSG00000000001	78.7596748107606	68.9854780510209	83.6499679653119	89.4373671927208	87.6181486046044	93.0161451153297
ENSMUSG00000000028	17.4828492291552	13.2732509130401	12.165675795891	23.7891851574973	14.5635953429646	11.019886005281
ENSMUSG00000000056	18.4548476345235	16.95848416027	10.4996771419348	21.1691916536099	22.2787555333528	9.84051344947284
ENSMUSG00000000078	17.7537198897322	17.7602218431055	15.8361013494124	44.1555887295602	60.6192209930121	30.8519250036471
ENSMUSG00000000085	8.32649930646989	6.4264278746203	9.45540651278363	5.34191919549675	4.12951405402854	6.24600667299787
ENSMUSG00000000088	103.103369087706	98.1667403066826	87.6583719191974	67.131104188582	62.3288875586257	65.6349213942411
ENSMUSG00000000125	3.02558541997983	2.22353178272018	3.21736360649566	2.22192781912705	1.52384058638745	2.00736062251324
ENSMUSG00000000127	6.82762103340193	6.54663744965702	6.30295100690296	10.7831793011712	8.41187714034704	7.67698306996722
ENSMUSG00000000131	12.3175519392732	10.0726643048785	13.4724786239782	13.858815410112	10.8398352273254	13.0991169410391
ENSMUSG00000000134	5.92678037541347	5.83020248379935	6.45284135555478	11.11345652224	12.0551504157611	11.7115641414918
ENSMUSG00000000142	20.5032232027109	12.2655238712121	10.9057122496011	11.9667261358472	5.87791692037594	5.2222169659883
ENSMUSG00000000148	8.0737444463984	7.0680931243582	7.09837902006284	7.99045038138006	6.17458994356548	6.79135973868947
ENSMUSG00000000149	7.50257482939653	5.50890285880501	6.28952782133564	7.12922896683764	5.08604101541429	7.01660028713288
ENSMUSG00000000154	34.0423184968515	43.6545847713884	25.0917286597661	22.5524885075233	28.95132082146	21.0902563325938
ENSMUSG00000000157	1.50353165927412	1.89934392565701	1.92447193089207	1.76414693248159	2.23798439734343	2.14742763708111
ENSMUSG00000000159	16.441637551073	18.8645735026649	18.2522282642314	16.8768785128102	21.9603273447934	20.1075554706786
ENSMUSG00000000167	1.79121585576496	1.88884392901937	1.62909015635894	2.6896074169996	2.05122627047073	2.0377231329038
