ME.1_DMSO_rep1	ME.1_DMSO_rep2	ME.1_DMSO_rep3	ME.1_AI.10.49_rep1	ME.1_AI.10.49_rep2	ME.1_AI.10.49_rep3
ENSG00000000419	47.1594260556514	45.1210014674419	50.9659240091341	77.9195780684232	69.9180016586868	77.4997856166032
ENSG00000000457	7.25344670712057	6.51337869091438	6.42537281845131	12.473957160005	12.6466717989164	13.8023821027931
ENSG00000000460	4.8471903623475	5.49673968028821	4.91383310671271	5.78340091704332	5.66743455240411	6.17172162949743
ENSG00000000938	3.10311690465252	3.87610326942048	2.93485373799446	2.7824008569834	2.91653419941367	2.6863172725684
ENSG00000001036	18.3449356371106	17.6241946584509	19.1817193913031	13.0438147324095	12.40920507372	12.6678371680767
ENSG00000001084	15.8662818847412	16.0960718729849	15.8956520293028	14.1637551417128	14.2106988534177	13.6618791813712
ENSG00000001167	23.2728297023434	23.4257928255743	23.4802576152769	19.5150598131987	17.9191515997772	17.9418779138955
ENSG00000001460	3.66189439009422	3.87000339537153	3.35821582287467	4.17050313165457	4.1217939983374	4.33702085488209
ENSG00000001461	9.53067882762753	8.80714078833754	8.74434656268524	11.304878223416	11.4106723274955	11.8578556300599
ENSG00000001497	29.6026349741896	33.9059351698851	27.7352834396518	21.9125777191702	21.6528883673972	20.2976533810788
ENSG00000001617	1.50172470956949	1.72180767658914	1.57513852601133	2.78569519365651	2.89384433843236	2.84123995727187
ENSG00000001629	9.36077486972005	9.57021628678768	8.9061516284877	9.31965119254098	9.06781039593268	9.16164019090404
ENSG00000001630	4.4046180567942	4.04971576660716	4.83858591919938	9.66267531136751	9.36141072022633	9.74958039652851
ENSG00000001631	15.0122145367073	15.5598367263703	14.0574699003659	16.2439814578671	16.2313745104632	15.8561197235406
ENSG00000002016	7.57022870327619	8.7066721226508	6.81371726731551	9.45781726867462	9.27937178653322	8.69301543989264
ENSG00000002330	7.71070612670371	8.53350653069002	9.91664224932626	8.07157654898255	9.01619776614011	8.68680837988397
ENSG00000002549	29.1470538643224	29.5936894989388	28.3880529188948	27.8240724241275	26.9743235913098	26.7047574136679
ENSG00000002822	11.207871974409	11.7294251168152	12.2848802924121	15.1818032895455	15.8730971220142	14.9212279480738
ENSG00000002834	44.3879160603437	41.4879246614664	41.7534325925457	43.1920469299891	43.0720435782443	41.883495589091
ENSG00000002919	10.4199564827847	10.0293536820763	9.92414264638847	13.5693427267111	14.5134837728649	12.8122021093772
ENSG00000003056	71.0775449853043	73.1927764379171	72.3325248271085	45.9295159514454	47.1753563265768	45.2442544492495
ENSG00000003249	1.53351796802008	1.40836317985084	1.40453271388067	1.75359805352978	1.88154555797207	1.63889875188837
ENSG00000003393	13.8825375057894	14.8805673142523	13.1544171994258	8.42398513917771	8.23025837637404	8.29348337966653
ENSG00000003400	2.52641787062851	2.51809425432608	2.62681111213633	3.55483469665789	3.78248969892296	3.6498384777317
ENSG00000003402	2.69796684265759	2.84764496433992	2.44660034712809	3.10870268373064	3.02582933829346	3.00776436469539
ENSG00000003436	4.32811129434982	4.21202667615564	3.86225502107818	8.27781608161384	7.51941660506991	7.70443104565064
