T1	T2	T3	T4	R1	R2	R3	R4
ENSMUSG00000000001	43.2825956032124	50.0374051448807	40.6918674127345	55.4423088619836	49.5478315146485	58.904051475596	46.0934482540056	51.4091867667005
ENSMUSG00000000028	1.31744066647222	1.69516210542313	1.58093825828431	2.42501644927454	3.20397004430035	2.3426272713058	3.4141331328851	1.8968571217051
ENSMUSG00000000056	5.33394988646162	5.91493053079995	4.87129148180766	7.7880266360551	13.3269225987078	9.54914747794486	11.9123152550138	8.96870760049296
ENSMUSG00000000058	10.8320074115892	9.72144832445973	8.13656327755258	10.5407396166029	10.7591173085776	10.4750282406421	12.3066592906892	11.0798252113676
ENSMUSG00000000078	4.62276812677492	4.48191890419587	4.97794894231813	5.1699730324925	6.98402798815376	5.20621337212496	4.44182107527503	4.63922331231057
ENSMUSG00000000085	5.51085515910666	5.99169643173564	6.09361878352071	7.03179225608561	7.97710454520105	5.58465049912362	5.53717771897588	4.49491971047194
ENSMUSG00000000088	19.3352541607524	32.9579556022823	28.2775223976239	37.4379491717139	49.1388390136132	54.5306700765156	38.7632424427264	37.0618015662452
ENSMUSG00000000094	1.86301978845539	2.47650292570744	1.65807732715047	2.4155601445537	2.32174058457929	1.59046944397477	1.93127294793657	1.88048569452663
ENSMUSG00000000131	8.62817278712461	9.2762910662321	9.65609884971597	9.13452680721532	9.97691607337703	9.8374581406022	10.3978490420235	9.44307801902697
ENSMUSG00000000134	7.53077234611013	10.0047825523085	11.1319469668803	6.38270065113931	10.1322081451868	8.48893868404043	10.0372958760851	10.0779697706485
ENSMUSG00000000142	3.55502478215947	3.31677866114596	4.11724741784856	4.80485567542215	3.0869849455667	2.90704241418945	3.16628703241342	2.85479128943972
ENSMUSG00000000148	2.67685931717037	2.73943844412247	2.6151410061018	3.19426707573814	3.30683857501665	2.53703956903892	2.26980782081128	3.21641562799287
ENSMUSG00000000149	3.73822776300847	3.72565206367421	4.46224576442654	5.19479430054305	5.31059225894733	5.85553319596392	5.17507203766712	4.68839200810002
ENSMUSG00000000167	1.79737565936867	2.87089633948649	2.94566975050745	1.47201972035582	2.11652995664528	1.90689893775922	2.03018338446988	1.85821157035678
ENSMUSG00000000168	68.4374570755844	71.5638422319826	71.8094628951673	40.8209171965306	61.9366631294999	77.2568837480625	73.7361924419374	84.7799889054548
ENSMUSG00000000171	52.2555146630248	73.4595669913212	67.0737435013919	95.2687161090357	106.850698165758	123.090993226865	114.926444457024	117.750818517089
ENSMUSG00000000184	60.6449949887404	67.7202421974445	79.8993234549859	67.947061519441	96.2434154512625	99.3147397206156	88.6053569308006	87.7701157799834
ENSMUSG00000000194	5.6856265835606	6.00908552060428	6.75050583837506	8.73581889920818	8.97164285533549	9.52596257028496	9.25175761138952	7.19696657071505
ENSMUSG00000000197	1.78801904283378	1.88898661410665	1.46614272676337	1.62668648354083	1.15604036555943	1.1901151522149	1.66751128337877	1.65966529158333
ENSMUSG00000000223	2.69234582080403	2.40934739249783	2.04691017869931	3.07417439275626	1.89559734130442	1.99628599844305	2.17581483825969	2.1672759894222
