gfp_plus_1	gfp_plus_2	gfp_plus_3	gfp_minus_1	gfp_minus_2	gfp_minus_3
ENSMUSG00000000001	20.1067628749574	15.5105150297457	19.5287472507964	14.0968657914302	8.94531270331705	13.8674831484412
ENSMUSG00000000028	2.9090563979921	2.51723229106075	3.35603637327896	2.80083805384411	2.53924634342291	3.84319216557988
ENSMUSG00000000056	17.8588188933441	20.4909313715243	16.2355717659779	23.090840833572	17.3777637122273	18.9839002569915
ENSMUSG00000000058	2.86654151116263	2.48711525784083	2.65011849850332	1.84228925401166	1.90521539899981	1.55735097062182
ENSMUSG00000000078	211.780667114727	138.634446234008	244.634528455737	95.2263975185344	118.054466853629	99.4047221027138
ENSMUSG00000000085	39.0516469797509	50.2597955856213	36.7685837443419	47.3658299134911	33.6429984833935	48.4221695914991
ENSMUSG00000000088	2.27796765949059	2.23816785976511	1.94371553172583	1.78207317600937	1.32400252573033	1.65167347628444
ENSMUSG00000000127	26.7549198636285	35.9127519960005	25.5343727545645	29.7627506274421	16.4936634635112	34.0186238207372
ENSMUSG00000000131	34.086374766022	35.8994533746228	34.3344476983062	31.1004269148257	31.1946501033984	32.3346996179564
ENSMUSG00000000134	35.1771703663929	36.9770138209452	37.0440446769942	44.7173538081905	75.2253126238249	49.6911572733618
ENSMUSG00000000148	6.09792922501222	8.39816540598625	6.25297433129092	9.09862313325793	6.68556336640676	9.80498358540157
ENSMUSG00000000149	31.2512746241197	39.6220656607938	43.2748249318509	42.0472637083611	42.8326338305849	54.0636955861889
ENSMUSG00000000157	10.7019048116625	3.98598784997524	11.8310599606974	1.14477232807097	4.56864649330772	1.54285110574106
ENSMUSG00000000168	16.0583712168501	11.0260910944326	10.6337769197048	10.7992149152919	7.71516312807328	10.8361511093311
ENSMUSG00000000171	20.2839375256654	18.4223595312115	26.9630960546308	11.3950294929856	10.2829487250106	10.4179938519357
ENSMUSG00000000184	19.3678159963042	12.794282376028	19.0434320444988	3.23544789064072	6.76939473779138	2.10960976676217
ENSMUSG00000000194	23.4706520474589	22.6715709044607	23.1921329426316	27.6229089227249	24.5268935418234	27.8331539531013
ENSMUSG00000000204	8.31197575871973	3.68561674484171	9.59509374615048	1.39343593182771	8.35179576397675	1.25656732402045
ENSMUSG00000000223	1.24775930706982	1.2366141383027	1.24732923864408	1.13284830964588	1.39626848500815	1.13046517347819
ENSMUSG00000000244	5.59693534499724	4.84247064860067	7.10458923664867	4.23081107527413	5.82637058439855	5.2154640412246
ENSMUSG00000000248	2.55849384434409	2.39626927750613	3.70670816992226	1.10995565098583	1.6218007058961	1.06871656979787
ENSMUSG00000000253	1.7352358243525	3.5327585587094	2.76841710109622	9.14176360630365	5.39913403985901	8.23057058248143
ENSMUSG00000000275	92.374309938939	50.9884247490447	87.8228804392768	20.6938537291052	34.5087005698245	15.078845045913
ENSMUSG00000000276	4.27357852047874	3.7866564530427	3.26685545519361	2.18425279091897	2.21378092471271	2.04424570956345
ENSMUSG00000000278	59.8170366620785	42.744619783211	55.2087328326897	37.2256678731794	73.1338086640542	40.1443595779192
ENSMUSG00000000282	18.7161399070559	19.4449245636512	20.5863532553168	18.6122002964843	21.1735407902962	18.6623591647982
ENSMUSG00000000290	144.563755088719	140.118372887225	179.383969550852	157.018294510077	120.750940779594	213.131000919784
ENSMUSG00000000295	1.99888987596317	2.03425528163767	1.84607173329761	1.60864070563219	1.72014541964915	2.39975726806172
ENSMUSG00000000303	1.50165467179297	1.36697841983557	1.4204814175669	1.15283339073256	1.74460607538494	1
ENSMUSG00000000317	1.72024961790402	2.18887656647678	2.01941463854876	3.3131601577155	2.3999681325674	3.31296789214476
ENSMUSG00000000318	7.93070387039719	5.42411393288714	10.6903467251697	2.85811847943808	7.26419703091242	1.47174868103732
ENSMUSG00000000320	2.53155045166687	2.22929728029662	1.9310559879147	2.5792613950739	2.88428899735629	2.09975134039889
ENSMUSG00000000325	3.65546053650773	3.48885444523028	4.23456303211119	14.6332719713539	8.69834966691204	13.3208019801954
ENSMUSG00000000326	42.2639672396964	66.1828399419621	47.9127902041112	91.1252632886171	87.3602687641772	100.256186672449
ENSMUSG00000000339	6.73516832274092	6.29561441903931	6.13564613237412	7.96590433092981	6.76472448665786	6.52129447517705
ENSMUSG00000000340	4.15193756977795	3.38668951580897	3.36112259515932	4.15861847396452	5.31829309937023	4.23013675218599
ENSMUSG00000000346	128.770974971551	109.800738525004	154.509561164619	79.1701632379412	197.713391071439	86.2982804119353
ENSMUSG00000000355	28.0921479838036	28.3907082795931	30.1736717347835	30.312975887668	15.7447218376035	22.3992876498131
ENSMUSG00000000365	1.30703650124936	1.43949784307962	1.42835997876231	2.47912178777933	1.31331733605199	1.93241231591044
ENSMUSG00000000374	13.3591773335777	13.8845999593548	15.0346465453258	19.083336426277	17.2227236491192	17.68344232763
ENSMUSG00000000378	38.48646320999	43.1673458441481	43.7401696973343	42.9786766915462	40.0577546324094	49.233206992862
ENSMUSG00000000384	15.267778207929	14.7203453825484	12.9885246363494	16.231504655266	12.5448160297297	14.1245427682202
ENSMUSG00000000385	1.90863945867644	1.82945771670436	1.76606544977685	1.86123268155856	1.53519588567848	1.75351596031217
ENSMUSG00000000386	20.1436124716194	15.0940812078403	16.958418822694	9.04061660915779	7.33410101645774	6.62496382093583
ENSMUSG00000000392	10.8654351221105	12.6680153997921	9.34370741241366	2.36968996912538	3.21890310122062	1.56081780900436
ENSMUSG00000000399	9.52860282847527	8.74561824799082	5.1386521023166	9.05902632543828	10.0495587110489	7.61769099985254
ENSMUSG00000000416	1.61030671806377	1.54949082608397	2.2474698033069	1.92967583432614	3.1352846058585	1.75917215847636
ENSMUSG00000000420	24.4709897774067	24.1966589151029	21.5838022900876	18.6020314403488	13.4747282095089	15.6259404944781
ENSMUSG00000000439	5.81564328195483	5.20529900942214	4.3676167397294	4.80366247722051	3.47716833139271	5.00709701979026
ENSMUSG00000000440	4.25624852254408	2.47123475101502	4.7600672050883	1.06372253373602	2.44140718929139	1.19911636636724
ENSMUSG00000000441	31.0906604165444	25.6926805268958	23.5948248580304	25.5021814132404	25.4937090834995	18.0187287433092
ENSMUSG00000000489	42.7922149638742	50.6991494525963	43.0926435085488	110.078031964787	58.3830484109557	85.7681793061233
ENSMUSG00000000530	14.6120499645233	12.3030439044327	11.7734683621825	4.88746844718565	10.5475711304632	3.90605960529117
