PC9_DMSO_1	PC9_DMSO_2	PC9_DMSO_3	PC9_TSA_1	PC9_TSA_2	PC9_TSA_3
ENSG00000000003	44.030149349519	45.2387933249046	43.517050070424	61.3231297849018	56.1355441143915	50.3681777016688
ENSG00000000419	67.0048416051885	67.9611911833212	63.908127771853	130.625097935212	126.290880467787	108.720581616924
ENSG00000000457	3.55765640537075	3.89726292928297	3.98405980884978	2.71116321999385	3.66367417763031	3.64415684469379
ENSG00000000460	12.5943979606706	12.5516975499082	12.4168950500319	13.0831121326139	13.7020991292128	13.9049949037074
ENSG00000001036	67.2808772777166	66.308481553019	64.9747758624557	69.4447912395191	66.617847645271	62.6649644145683
ENSG00000001084	36.9966232440308	39.5658428483611	36.8520014475929	29.3245474487495	34.6414081153974	35.4211489031808
ENSG00000001167	18.9083294847729	19.2639730311994	17.9599891629215	9.67641405094517	13.4852572474545	14.1692739703734
ENSG00000001460	3.75762824890258	3.86123490086713	3.63281351630551	6.65846702819918	7.79654030085029	7.86192276471054
ENSG00000001461	4.51066966862717	4.22043622225923	4.5118556463959	7.96523542533686	9.89788623828201	11.0141461138914
ENSG00000001497	45.7786600480236	47.4278655108395	46.7967494330498	31.0497127643017	39.3910308430026	41.6361562227174
ENSG00000001561	4.9164707832055	4.97275974768771	4.57681662618291	4.83516522038606	5.89429244371543	6.60110288861892
ENSG00000001617	1.17408432650765	1.1956524636792	1.19807049508862	1.51201224563881	1.70956089737293	1.77338661853063
ENSG00000001629	18.000960192101	19.0516351758552	18.9525656839029	12.5920570284469	18.4365980464737	22.5443982877684
ENSG00000001631	7.5384876992817	8.16854450698428	8.00450028889048	5.54766016792886	8.05722076335932	9.02423281798429
ENSG00000002016	7.30399018638017	7.74840929780952	7.73083147274066	3.57657875410858	4.69720115324522	5.08089895116306
ENSG00000002079	14.0820209656136	13.7109474583862	13.4944415091282	11.9545259598865	14.4530635287767	16.2641198346602
ENSG00000002330	10.1138823563398	9.95763122252908	11.1886469753215	33.8428021378961	21.4995227753014	21.4994348783463
ENSG00000002549	26.2726514800766	26.9399701593125	25.6264786657021	23.5210400246231	25.6944018232786	25.3763090309927
ENSG00000002587	3.14105612273578	3.04731565574171	3.15778924076024	2.77375782763764	2.4277936676671	2.36796298640695
ENSG00000002822	8.52878235097937	7.34361225331159	8.05393326454892	8.96779441593314	9.35275792799589	10.4883273006108
ENSG00000002834	126.263245334066	122.367069074264	123.891493090134	99.9896793368735	104.467395493559	107.133431993614
ENSG00000002919	10.2932195311637	9.97134095209782	9.15280135420204	9.94213299770211	10.1572355883777	9.86431550442761
ENSG00000003056	101.529410766872	101.4794914416	98.9894934376592	103.714005072301	107.76177829962	106.066285853925
ENSG00000003137	3.90560654697149	3.71856274895052	3.96771273687495	3.86565354835713	4.60783369048205	4.40873184792433
ENSG00000003147	9.88638818724226	9.69674962569826	10.1438601849573	9.7855797980015	10.3803130553786	10.134715122412
ENSG00000003249	12.1751419583376	10.8149805226246	13.7793399498519	28.3798874758229	21.9630949976004	20.0595463280334
ENSG00000003393	10.4914129245846	11.3641303610497	11.0777553882921	11.1802482472353	15.3807524865477	17.4919900310359
ENSG00000003400	1.62093843461319	1.5068057019334	1.52350707623813	2.15655083392307	2.24372084474858	2.37828013665719
