Control_1	Control_2	Control_3	shEZH2_day4_1	shEZH2_day4_2	shEZH2_day4_3
ENSG00000000003	9.54276523490952	9.91098150305866	8.30484714755411	22.5561748739631	22.889739154506	20.6976790091776
ENSG00000000419	18.0236414987028	18.4673795560963	13.800642313774	28.914207884117	27.1020349053191	21.8351315204779
ENSG00000000457	2.71942511222413	2.5951702810634	2.05472844818399	4.19953133265039	4.25822904504676	3.97255788999498
ENSG00000000460	3.58594571913528	3.33101027048292	2.9679115044188	2.08711942500364	2.30574391440418	1.63273505488527
ENSG00000000971	2.01230001077556	1.93841666124381	1.86282540177343	7.66375665587054	5.94681855054249	5.81079996701597
ENSG00000001036	33.9399290659394	36.3172750773761	31.6636778685748	36.639247388672	36.8483562094032	31.4394081829886
ENSG00000001084	10.9800587152262	10.0181416792575	8.10697708761909	14.9502842183112	12.490723844648	12.0254318397593
ENSG00000001167	10.115455376656	8.68330087114516	7.85731858954454	11.5595495447579	11.151389292	9.97329325628421
ENSG00000001460	10.5854622623598	10.5953863717156	10.0862994742335	7.51352902343474	7.77908307710583	7.80447191164942
ENSG00000001461	35.6157531435294	33.7696266918806	30.3680397168397	37.0430461096548	37.9276741028341	35.9725888039759
ENSG00000001497	26.9541527594711	28.9082389125308	28.4425917841357	15.1302518056217	15.0271873868859	17.888932608223
ENSG00000001617	42.0796575421223	42.5165035644186	49.7081284546021	87.107817857308	89.1043179851011	94.730567840746
ENSG00000001626	1.00740548892565	1	1	5.39405330788765	4.39015107159523	3.55797488757433
ENSG00000001629	5.6842964656492	4.90579492094986	4.29376204314589	9.99396403213631	9.55756214223507	7.93180880054907
ENSG00000001630	3.38926657473349	3.64104149092521	2.75992371456092	4.79564499157838	3.1864960187838	4.06807980390485
ENSG00000001631	2.61158492598916	2.6388850483206	2.39414733747778	3.17847901057309	3.40786456272443	2.94369157802324
ENSG00000002016	2.80971567304203	2.94876495854741	2.20262395014337	2.66993884975529	2.85755124523884	2.72075917140385
ENSG00000002330	18.4263123533972	21.5910701362852	20.6137152315709	20.3164883291088	22.1098072144511	22.007314239406
ENSG00000002549	32.1901926344109	30.3264811952393	26.2270052971656	25.7599532871674	26.4853319955426	22.4233091297462
ENSG00000002587	1.10147588400463	1.05736820494048	1.09272248074119	1.20420330885168	1.15623724005578	1.23683379149337
ENSG00000002745	2.38393777042509	2.28535999858476	1.91967856222604	2.28195842932619	2.7756486330149	2.16637509588374
ENSG00000002746	1.38910897127451	1.31658239585415	1.34477001003793	1.28724432134794	1.3057091029548	1.29150123389668
ENSG00000002822	19.3099339548781	20.344020562191	23.0349264344779	11.4749655493484	11.9085735980103	12.0790335616069
ENSG00000002834	305.006176730974	294.577481451472	329.751274283962	148.883384689986	161.336303195351	173.608828374123
ENSG00000002919	10.2050471214814	10.5759411911937	10.2087737484145	10.1965317127085	11.6763066820408	12.6595652844665
ENSG00000003056	35.4748783882679	33.3335900265111	31.1030500814344	21.830245710012	19.4540625788334	22.1966243386565
ENSG00000003096	1.88031351286245	2.00458321181917	1.60779361174304	2.05171607781474	1.9622567176648	1.85384186661255
ENSG00000003137	1.13435046772803	1.04960226390216	1.07652650758168	2.63318260418392	2.51691876563033	2.49314062684253
ENSG00000003249	10.9164732918717	10.0601791731601	11.6250742984448	14.6635067702478	16.8732226284666	19.0461881093901
ENSG00000003393	6.57171013893753	5.07020200822005	4.96030122441718	10.1892727241239	8.9325606346823	9.20343763418666
ENSG00000003402	3.81251468473353	3.57415449793343	3.38739101173258	4.25437460799086	4.20265670155405	4.49602139721887
ENSG00000003436	6.14236076347137	6.21561570907424	4.87866509464337	52.8162714944382	42.8397849702112	33.6820199054175
ENSG00000003509	4.45152749234623	4.51969397605777	4.03980294005	6.96136172788454	5.69522475076056	5.27038219276962
ENSG00000003756	15.6857535423236	14.6943324272328	12.340021794857	24.3243442431703	22.7555946065126	21.123938623484
ENSG00000003989	8.1938536647563	6.77729348043836	5.66996049186115	7.15291083230581	5.97962735260267	5.31073882421835
ENSG00000004059	89.4447875630496	96.5247319474015	113.052406218892	103.074140875554	113.733041119318	125.331620797804
ENSG00000004139	1.82628740519779	1.87930715600119	1.88678016469385	1.86038705386977	1.58053706401966	1.68063501330706
ENSG00000004142	59.0131357872891	61.4156874762252	68.8133771304312	39.5667830845041	43.9447604782537	43.5255621875418
ENSG00000004399	37.5383274301599	36.0803026544041	39.5911074162159	36.2927095076691	37.2031828527901	40.4510990533871
ENSG00000004455	153.509755923329	164.566890251282	152.623670893442	106.696950778228	105.086748957828	103.696018669821
ENSG00000004478	47.412788526407	52.7927345909931	56.9025004921061	29.3179720524546	31.4130612432674	32.17206576138
ENSG00000004487	47.2039807689212	50.5476899639381	46.1510095321345	48.4946381150393	49.8698548107217	44.6558676894629
ENSG00000004534	11.9835763649698	12.6389047662005	10.4936859845493	14.2725989562327	12.3252630787541	12.1725090637179
ENSG00000004660	5.00193203505782	5.16668761820208	5.18395023704257	7.81971314022348	8.32585880025795	9.20975065600504
ENSG00000004700	5.23184242299962	6.13935082733607	4.94838635067837	13.7906648314337	13.022966678685	9.56543609234539
ENSG00000004766	1.67109051367596	1.85686078295033	1.63709260006422	2.98434621831746	2.5252646816846	2.36736375630554
ENSG00000004776	160.138248340427	161.612923446604	211.970668404072	81.2588263304033	93.7248131627675	100.268974848297
ENSG00000004777	2.9774382994993	2.71870944431765	3.127561215103	2.29935186969834	2.30481178709104	2.17209604084501
ENSG00000004779	55.1846821979993	66.4425367002367	58.8988315181074	55.5974931297482	61.3570056527354	59.8395937385681
ENSG00000004799	10.1930641347185	9.39209421579405	8.2572177574991	91.2922055875421	78.2229639808057	64.2386561542996
ENSG00000004864	7.5740905528703	7.268375381297	7.00459775560527	8.65948453482491	8.52074393112897	7.73659723348033
ENSG00000004866	7.71472176527339	7.22948014974523	6.4919193763261	6.37850592856292	6.30169970994971	5.78849491378812
ENSG00000004897	9.19413411884409	8.77024994296971	7.67723312894065	12.1063382584464	10.7538846436196	8.780579088289
ENSG00000004961	15.4986398914964	15.5345743094823	14.5180025821268	16.1967199660141	16.6392768270153	16.3909027550485
ENSG00000004975	26.538635012638	26.0894523702982	29.7332244009291	19.6113281621671	20.2431242371814	25.2530797049867
ENSG00000005007	48.6266378905084	46.1836371002622	52.0435144422657	36.996497014107	39.0346726168703	42.391812548623
ENSG00000005020	7.16276339306334	5.93708555805998	5.16613310659343	13.6044295452406	13.3842125941584	11.5274543038218
ENSG00000005022	161.100528606177	168.912202336661	163.082791750386	126.76995399656	135.732604481768	119.497833589225
ENSG00000005059	12.3220693718353	11.6307216104437	11.0680057849072	5.65198073916999	6.30903016171608	4.86545316788654
ENSG00000005075	50.8443118328229	53.9500441663685	59.1521537233725	43.5809597427699	41.9094584467945	56.7207399460391
ENSG00000005100	8.57251180108105	8.00761248197443	7.2044033085134	5.84283426834045	5.4631818621174	5.55717849376716
ENSG00000005156	6.49250302637457	6.79809129796388	6.32407667663667	4.24081301206814	3.87433122469287	3.82621657848753
ENSG00000005175	3.2082522833435	3.21789223880774	2.96125851488772	5.23614462981164	4.09377821285841	4.09392227421428
ENSG00000005189	2.81842025423805	3.71624329637358	2.61860217199269	2.22774908481416	1.82193875003629	1.54510055242688
ENSG00000005194	24.3231348340287	27.7991877165506	27.6381414331057	25.4940043017318	28.1684784039601	26.4513318795018
ENSG00000005206	8.1111473251743	8.50385090995263	9.56825970158436	7.84729568667976	7.7182154321466	9.65246473500653
ENSG00000005238	8.65627720041367	8.35145776050886	9.3037603678722	17.4196370684748	18.6072592313772	19.2301008723269
ENSG00000005243	28.1270351403413	30.1471368721033	32.9598362502238	28.4228638582943	31.2919051534845	28.9065696070569
ENSG00000005249	3.09264783834439	3.13148551864976	2.45608501016575	8.37946036903562	6.73632219678913	6.03723881907171
ENSG00000005302	10.7390449461426	10.3827592039707	7.94427340767122	13.2813210721265	13.1456169187187	11.849372017671
ENSG00000005339	12.3872934343633	10.5381989921905	10.3634310712613	8.67580420091097	7.9983041444221	9.05771272955808
ENSG00000005379	2.04412199042569	2.15864908883238	2.16819069125311	2.11245821449913	1.9566774104221	2.11976624634801
ENSG00000005436	2.22730967816414	2.63879623791359	2.25057642329723	2.64650415695727	2.55369255388804	2.27307053085024
ENSG00000005448	34.4144957538882	35.9416596408424	42.2006173678148	70.137999438685	76.9101401219579	84.5914537272794
ENSG00000005469	4.01782886848109	4.10492986991239	3.22406518443836	8.32418389081771	8.10539082911948	6.29637437543333
ENSG00000005483	5.03633836110805	4.31213813502317	3.57254791304954	9.64977569334317	8.56730094619895	7.56805496673528
ENSG00000005486	20.1826862480751	21.389499105964	24.6716364387603	37.4097872842547	43.57532878638	48.7468024517867
ENSG00000005513	1.11768178319941	1.01900857732305	1.15640791874592	1.85704469237148	1.6039621200731	1.54931323197037
