Ishi_Dex_1	Ishi_Dex_2	Ishi_DMSO_1	Ishi_DMSO_2
ENSG00000000003	39.804608318539	44.7320066155705	37.3564211415685	41.7609886294024
ENSG00000000419	37.5286379216271	38.1106655592665	38.9054349153345	34.0832794966344
ENSG00000000457	5.58906611789589	5.10164667563017	5.03825536764095	4.7000414495172
ENSG00000000460	5.91133986709509	6.1942229653252	6.42140558924573	6.55183799360845
ENSG00000001036	79.8881158169351	86.799527019076	76.621380680671	79.3603158856567
ENSG00000001084	16.7836129630059	16.2591544933827	20.9204215423512	17.5038189134109
ENSG00000001167	19.9776529778303	18.4562041207113	21.5965968509937	18.692821153706
ENSG00000001460	6.74176238105513	8.27323084478285	7.22786995406852	6.47034333350317
ENSG00000001461	18.6035701798069	16.9177192224158	16.556172210618	17.4505690991918
ENSG00000001497	48.3476873588007	46.8031155254185	56.0035637043501	52.5639232755596
ENSG00000001561	19.3411147195502	18.7911758666799	20.1988913961263	17.7793556955128
ENSG00000001617	37.2626656373798	32.8905969028538	30.4124384895156	30.0989366043466
ENSG00000001629	12.5945539662505	10.8688144567382	14.5403685122488	12.3964701723578
ENSG00000001630	5.31413905340423	3.37299625118205	4.62683773764666	4.83173604788666
ENSG00000001631	8.98723722224525	8.32194706374355	10.4703052989653	8.33064391155139
ENSG00000002016	6.63505535793858	7.05811432248594	7.51508826741222	6.84416745917482
ENSG00000002330	45.6791338217138	52.8594465953936	36.2189650250515	50.2060112217681
ENSG00000002549	36.5744570244469	39.2532096766988	42.0845290935204	40.6792463684437
ENSG00000002822	7.19971821035082	7.15049981213379	6.97224888312744	7.25074417723698
ENSG00000002834	65.1881241806418	72.079495957938	65.3171159499031	69.5599406104625
ENSG00000002919	9.08644972912881	10.0204805355522	9.69577451325483	11.4926946074286
ENSG00000003056	119.292662089368	124.957886928602	123.235517577246	121.413138818059
ENSG00000003096	6.02671730719517	5.72570118245623	5.99257675088904	6.4265503156767
ENSG00000003137	1.68151557084639	1.54245645495564	1.65651058140447	1.55452168391736
ENSG00000003147	13.6859074742815	14.8483956780076	13.6349531906271	13.2939870345459
ENSG00000003249	14.2992047234664	15.8419069281955	13.9255217969848	14.9511947754399
ENSG00000003393	7.25234606630466	7.34515581873051	8.47757847850819	8.01978760914113
ENSG00000003400	4.90412067468347	5.1136281167469	3.89104608515848	3.56101461914466
