matr3_yfp_1	matr3_yfp_2	matr3_yfp_3	matr3_f115c_1	matr3_f115c_2	matr3_f115c_3
ENSG00000000003	11.6468034030733	9.92918817246093	9.16890534905881	11.2510501338382	10.4839886284336	11.3663480487667
ENSG00000000419	53.5041636940183	50.8907852159652	53.336749553341	51.1230732458533	48.2234256051993	50.3286931291418
ENSG00000000457	3.60305540488315	4.73960717958151	3.93290876383317	4.1020324547664	4.20492731831829	4.14650162790442
ENSG00000000460	3.54350576278489	3.67575200743385	2.82837956265427	3.67109568435683	3.40715132466237	3.46034472050485
ENSG00000000971	23.8197736453753	26.5893999242492	20.3446745516171	27.6645508439152	30.3791125833332	29.2344229897165
ENSG00000001036	61.2428969899651	58.1796795485763	54.5194613412282	59.9333500319796	60.6807967842853	61.1962224030966
ENSG00000001084	34.3418131388288	34.501989977056	33.3545255567367	35.8765096605915	36.4369354930915	40.2109000774701
ENSG00000001167	19.138974497039	20.6639624872281	22.0586606445512	21.792815286541	19.646637027323	21.1884612170977
ENSG00000001460	2.66216664532835	3.12736490347879	3.40923788805715	3.12167314123173	2.64829308473343	3.04739934935661
ENSG00000001461	6.70681340402756	8.58763431151221	11.9900290808211	7.53956022900771	5.79141181136862	7.94403986537237
ENSG00000001497	36.2398173631729	40.4413165505355	43.8920885709538	41.7499466382597	35.0924174561221	36.5313307620271
ENSG00000001561	1.66311130856769	1.92390342992528	1.72193598942466	1.73142238113032	1.75885459846928	1.8011234072787
ENSG00000001617	3.02607176676009	3.00056050806766	2.40875840936092	3.07690833885801	3.42400560105387	3.07663980265686
ENSG00000001629	29.9911864471876	30.5233049580438	24.5404153285102	28.5733499981641	32.7259523332042	31.819606667301
ENSG00000001630	5.04994639602032	5.20344780208853	5.2672166148289	5.70466728876615	5.24175500646915	6.18853732328688
ENSG00000001631	12.0225113717448	14.9042157224861	13.7938499602153	13.3898902330233	14.3209100368005	15.5212416131676
ENSG00000002016	3.95109914388924	5.29996309681713	4.84675666652871	4.29662489657831	4.50617834031041	5.21006609487099
ENSG00000002330	23.6435929602207	22.323243983833	22.05380147638	24.084269175055	22.5912784368473	22.9945142500188
ENSG00000002549	309.009122747786	254.434552033312	214.897514406696	240.35972073019	293.831783489492	225.96222955111
ENSG00000002587	1.23109647505124	1.24514644335422	1.16827738063553	1.19496014031353	1.23052200683435	1.17320377576361
ENSG00000002746	2.6823264908052	2.72271298498719	2.64587830626153	2.91477407950512	2.80739387439335	3.09903993985813
ENSG00000002822	43.3820238479309	45.8120121578645	55.9250638614239	46.3481675308126	42.6858910530719	41.1853143499109
ENSG00000002834	52.4991829038664	55.567828833514	56.5741616380914	58.7525454078567	54.8960356372699	53.3586066009933
ENSG00000002919	14.1345514150864	13.4345268578293	13.4973776478862	13.3093823534364	13.3887027899333	12.6163773444443
ENSG00000003056	52.928268792103	59.4883837035068	58.3246826545606	58.2989709144707	52.8376222697724	57.0239136060634
ENSG00000003096	3.43004265893925	2.71852127963993	2.88598279790173	3.95208526662059	3.13387045873442	3.78500508243945
