id	sym	wt_1	wt_2	wt_3	IFNgR_KO_1	IFNgR_KO_2	IFNgR_KO_3
ENSMUSG00000000001	Gnai3	8177	5450	4797	6457	12178	7451
ENSMUSG00000000028	Cdc45	395	273	609	397	589	498
ENSMUSG00000000031	H19	10	2	3	9	8	2
ENSMUSG00000000037	Scml2	28	26	67	20	25	24
ENSMUSG00000000056	Narf	1400	899	863	941	1926	1264
ENSMUSG00000000058	Cav2	603	699	1202	650	1182	629
ENSMUSG00000000078	Klf6	23066	17737	8393	11343	24921	13829
ENSMUSG00000000085	Scmh1	89	104	126	102	173	119
ENSMUSG00000000088	Cox5a	2545	2234	1917	2320	3890	2648
ENSMUSG00000000093	Tbx2	177	128	1242	200	167	189
ENSMUSG00000000094	Tbx4	34	33	333	40	35	34
ENSMUSG00000000120	Ngfr	25	3	3	18	26	26
ENSMUSG00000000127	Fer	339	315	504	420	657	366
ENSMUSG00000000131	Xpo6	3142	2222	1958	2012	3872	2505
ENSMUSG00000000134	Tfe3	1599	1317	1059	1409	2384	1642
ENSMUSG00000000142	Axin2	7	17	112	6	20	12
ENSMUSG00000000148	Brat1	852	619	582	785	1123	895
ENSMUSG00000000149	Gna12	3999	3630	3589	5282	8320	6360
ENSMUSG00000000154	Slc22a18	17	25	46	21	34	18
ENSMUSG00000000157	Itgb2l	10	3	0	1	12	1
ENSMUSG00000000167	Pih1d2	23	5	15	4	12	7
ENSMUSG00000000168	Dlat	1459	1042	1520	1310	2219	1537
ENSMUSG00000000171	Sdhd	3182	2460	2648	2881	4666	3338
ENSMUSG00000000184	Ccnd2	1405	1553	2685	992	1699	1339
ENSMUSG00000000194	Gpr107	2492	2000	1628	2105	3572	2554
ENSMUSG00000000202	Btbd17	29	21	16	56	79	157
ENSMUSG00000000204	Slfn4	17695	7411	2277	1780	8274	2546
ENSMUSG00000000244	Tspan32	715	596	355	701	1158	1038
ENSMUSG00000000247	Lhx2	17	8	2	0	3	1
ENSMUSG00000000248	Clec2g	73	84	34	48	116	60
ENSMUSG00000000253	Gmpr	105	93	328	329	338	317
ENSMUSG00000000266	Mid2	13	20	99	19	15	13
ENSMUSG00000000275	Trim25	2940	2745	1298	1392	3149	1860
ENSMUSG00000000276	Dgke	344	347	510	276	566	350
ENSMUSG00000000278	Scpep1	5474	5600	4838	4071	7273	4629
ENSMUSG00000000282	Mnt	285	217	268	249	451	292
ENSMUSG00000000290	Itgb2	25686	20210	8463	12045	22141	16557
ENSMUSG00000000295	Hddc2	202	149	504	199	355	220
ENSMUSG00000000296	Tpd52l1	62	37	359	49	85	38
ENSMUSG00000000301	Pemt	46	29	50	46	61	55
ENSMUSG00000000303	Cdh1	173	128	78	404	562	817
ENSMUSG00000000317	Bcl6b	2	5	4	11	7	8
ENSMUSG00000000318	Clec10a	1648	852	631	1514	2765	2048
ENSMUSG00000000325	Arvcf	70	53	104	91	122	107
ENSMUSG00000000326	Comt	2442	1770	1695	2822	4498	3293
ENSMUSG00000000339	Rtca	651	480	682	580	987	731
ENSMUSG00000000340	Dbt	362	302	431	372	703	389
ENSMUSG00000000346	Dazap2	5060	4787	3347	4249	8178	5136
ENSMUSG00000000355	Mcts1	937	640	505	691	1523	818
ENSMUSG00000000359	Rem1	14	7	13	17	49	101
ENSMUSG00000000365	Rnf17	37	29	15	31	58	34
ENSMUSG00000000374	Trappc10	2880	1821	1830	2210	4143	2684
ENSMUSG00000000378	Ccm2	1034	708	880	972	1500	1205
ENSMUSG00000000384	Tbrg4	799	636	882	784	1332	883
ENSMUSG00000000386	Mx1	2901	2461	654	328	877	466
ENSMUSG00000000392	Fap	18	15	4	4	23	5
ENSMUSG00000000399	Ndufa9	2349	2055	2617	2309	3526	2672
ENSMUSG00000000409	Lck	19	19	72	13	18	19
ENSMUSG00000000416	Cttnbp2	7	4	49	6	9	4
ENSMUSG00000000420	Galnt1	3498	3261	2624	3417	6015	4474
ENSMUSG00000000439	Mkrn2	575	439	691	538	942	566
ENSMUSG00000000440	Pparg	1095	911	488	687	1324	729
ENSMUSG00000000441	Raf1	4721	3067	3267	2774	5369	3273
ENSMUSG00000000486	Sept1	1	11	16	3	28	6
ENSMUSG00000000489	Pdgfb	654	513	385	555	776	872
ENSMUSG00000000530	Acvrl1	3401	3385	1954	1547	2653	1922
ENSMUSG00000000531	Grasp	60	35	98	40	68	45
ENSMUSG00000000532	Acvr1b	1267	851	686	893	1691	1088
ENSMUSG00000000538	Tom1l2	395	306	1830	472	650	461
ENSMUSG00000000552	Zfp385a	132	139	142	173	215	227
ENSMUSG00000000555	Itga5	1716	1601	960	909	1707	1258
ENSMUSG00000000561	Wdr77	904	674	1257	1068	1907	1234
ENSMUSG00000000562	Adora3	190	138	61	159	274	236
ENSMUSG00000000563	Atp5f1	4565	3295	3332	3590	6906	4267
ENSMUSG00000000567	Sox9	3	4	18	2	6	5
ENSMUSG00000000568	Hnrnpd	1062	1014	869	702	1546	883
ENSMUSG00000000581	C1d	1182	833	849	1072	1957	1075
ENSMUSG00000000594	Gm2a	14954	16794	8018	11704	21893	19467
ENSMUSG00000000600	Krit1	957	593	641	487	1168	619
ENSMUSG00000000605	Clcn4	2109	1648	1325	1580	3081	1901
ENSMUSG00000000627	Sema4f	7	8	66	11	15	8
ENSMUSG00000000628	Hk2	11832	8145	7434	4587	10599	6319
ENSMUSG00000000631	Myo18a	2771	2121	1539	2239	3598	2665
ENSMUSG00000000673	Haao	107	95	54	81	125	180
ENSMUSG00000000682	Cd52	12138	10412	4952	7752	14725	11851
ENSMUSG00000000686	Abhd15	155	202	148	209	351	277
ENSMUSG00000000690	Hoxb6	2	0	19	1	4	2
ENSMUSG00000000693	Loxl3	406	325	752	367	497	372
ENSMUSG00000000708	Kat2b	1764	1254	1336	1143	2015	1362
ENSMUSG00000000711	Rab5b	945	694	736	807	1553	976
ENSMUSG00000000730	Dnmt3l	73	48	28	82	147	77
ENSMUSG00000000731	Aire	15	22	219	19	30	12
ENSMUSG00000000732	Icosl	1010	775	478	697	1441	949
ENSMUSG00000000738	Spg7	1258	971	1008	1058	1544	1172
ENSMUSG00000000739	Sult5a1	0	1	19	1	1	0
ENSMUSG00000000740	Rpl13	1535	988	1143	1435	2316	1829
ENSMUSG00000000743	Chmp1a	2274	1902	1759	2079	2982	2299
ENSMUSG00000000751	Rpa1	2338	1819	3441	2474	3877	2849
ENSMUSG00000000753	Serpinf1	34	24	217	62	88	63
ENSMUSG00000000759	Tubgcp3	1004	813	985	862	1598	1119
ENSMUSG00000000776	Polr3d	459	318	339	439	684	490
ENSMUSG00000000782	Tcf7	3	8	47	10	12	13
ENSMUSG00000000787	Ddx3x	10699	9060	9728	8813	18154	10768
ENSMUSG00000000791	Il12rb1	450	555	230	23	34	14
ENSMUSG00000000804	Usp32	1415	1028	995	666	1668	877
ENSMUSG00000000805	Car4	17	5	3	12	38	10
ENSMUSG00000000811	Txnrd3	124	120	387	182	247	235
ENSMUSG00000000823	Zfp512b	274	178	455	292	442	274
ENSMUSG00000000826	Dnajc5	6450	4550	3772	3929	7605	4822
ENSMUSG00000000827	Tpd52l2	1756	1101	1376	1607	2867	1846
ENSMUSG00000000838	Fmr1	1510	1075	1435	916	1705	1097
ENSMUSG00000000861	Bcl11a	35	26	19	17	47	49
ENSMUSG00000000876	Pxmp4	241	177	208	269	417	328
ENSMUSG00000000881	Dlg3	81	101	229	99	144	92
ENSMUSG00000000884	Gnb1l	76	58	106	81	142	76
ENSMUSG00000000901	Mmp11	10	7	24	12	12	8
ENSMUSG00000000902	Smarcb1	1424	1074	1464	1477	2157	1710
ENSMUSG00000000915	Hip1r	116	85	251	69	247	85
ENSMUSG00000000916	Nsun5	295	215	302	262	460	333
ENSMUSG00000000934	Top1mt	168	148	255	193	302	195
ENSMUSG00000000938	Hoxa10	15	11	211	22	40	18
ENSMUSG00000000957	Mmp14	5237	5387	3349	3283	5794	3721
ENSMUSG00000000958	Slc7a7	1541	1151	733	1556	2603	1575
ENSMUSG00000000959	Oxa1l	600	557	608	641	1111	773
ENSMUSG00000000976	Heatr6	950	695	712	700	1461	946
ENSMUSG00000000982	Ccl3	9039	4505	1534	2683	12022	2412
ENSMUSG00000000983	Wfdc18	48	17	11	20	40	21
ENSMUSG00000001016	Ilf2	1403	1043	1958	1526	2549	1574
ENSMUSG00000001017	Chtop	2466	1704	2271	1869	3698	2336
ENSMUSG00000001018	Snapin	1183	899	898	1132	1991	1199
ENSMUSG00000001020	S100a4	13182	7101	4188	10885	19115	14358
ENSMUSG00000001025	S100a6	9491	6833	3052	6723	11615	7712
ENSMUSG00000001029	Icam2	205	208	132	134	279	146
ENSMUSG00000001034	Mapk7	1219	792	738	824	1544	975
ENSMUSG00000001036	Epn2	99	90	624	114	122	101
ENSMUSG00000001039	B9d1	33	25	126	39	47	36
ENSMUSG00000001052	Sec24b	927	595	479	470	1149	689
ENSMUSG00000001053	N4bp3	92	54	214	89	192	100
ENSMUSG00000001054	Rmnd5b	566	379	383	500	888	573
ENSMUSG00000001056	Nhp2	1402	1152	1809	1636	2206	1706
ENSMUSG00000001062	Vps9d1	835	536	382	607	1075	742
ENSMUSG00000001065	Zfp276	1200	612	601	724	1329	871
ENSMUSG00000001082	Mfsd10	809	628	656	745	1200	863
ENSMUSG00000001089	Luzp1	1656	1684	1534	1316	2321	1986
ENSMUSG00000001095	Slc13a2	3	1	3	8	13	1
ENSMUSG00000001098	Kctd10	2341	1830	1510	1963	3421	2428
ENSMUSG00000001100	Poldip2	1045	871	1384	1164	1749	1257
ENSMUSG00000001105	Ift20	725	480	371	547	1048	616
ENSMUSG00000001119	Col6a1	6	1	12	4	3	0
ENSMUSG00000001120	Pcbp3	21	27	16	20	46	31
ENSMUSG00000001123	Lgals9	1545	1729	1027	1397	2488	1848
ENSMUSG00000001127	Araf	1087	851	892	955	1839	1243
ENSMUSG00000001128	Cfp	10718	7375	4361	10116	17613	13920
ENSMUSG00000001131	Timp1	281	181	127	259	548	369
ENSMUSG00000001134	Uxt	209	129	140	152	325	202
ENSMUSG00000001138	Cnnm3	290	241	400	379	505	466
ENSMUSG00000001143	Lman2l	345	272	297	302	528	365
ENSMUSG00000001150	Mcm3ap	940	791	985	849	1460	1001
ENSMUSG00000001151	Pcnt	1420	930	1273	1002	1810	1325
ENSMUSG00000001156	Mxd1	6896	4833	1882	1681	6400	2008
ENSMUSG00000001157	Gmcl1	335	335	586	343	660	448
ENSMUSG00000001158	Snrnp27	1090	728	1043	783	1368	825
ENSMUSG00000001166	Oas1c	83	100	61	82	180	94
ENSMUSG00000001173	Ocrl	841	757	641	761	1429	906
ENSMUSG00000001175	Calm1	46379	36960	23356	35482	67175	40506
ENSMUSG00000001211	Agpat3	919	940	1436	1431	2113	1310
ENSMUSG00000001227	Sema6b	678	572	484	516	1053	806
ENSMUSG00000001228	Uhrf1	1144	1062	2596	1535	2193	1957
ENSMUSG00000001229	Dpp9	1298	808	1017	1159	1799	1432
ENSMUSG00000001240	Ramp2	719	668	916	898	1387	960
ENSMUSG00000001247	Lsr	1037	728	398	548	1035	747
ENSMUSG00000001248	Gramd1a	1493	780	1229	957	2187	1209
ENSMUSG00000001249	Hpn	51	43	27	42	69	48
ENSMUSG00000001270	Ckb	2617	2523	3439	2433	3151	2187
ENSMUSG00000001280	Sp1	3683	3051	2839	2577	5428	3460
ENSMUSG00000001281	Itgb7	3878	3002	1251	1777	2592	1933
ENSMUSG00000001285	Myg1	741	474	893	751	1066	840
ENSMUSG00000001288	Rarg	725	503	571	498	992	772
ENSMUSG00000001289	Pfdn5	2797	2202	1991	2364	3790	2769
ENSMUSG00000001300	Efnb2	12	14	14	27	19	48
ENSMUSG00000001305	Rrp15	751	491	517	627	1235	707
ENSMUSG00000001313	Rnd2	49	37	222	53	115	65
ENSMUSG00000001323	Srr	131	123	184	125	248	155
ENSMUSG00000001348	Acp5	627	835	522	755	1512	1145
ENSMUSG00000001366	Fbxo9	421	246	392	352	649	457
ENSMUSG00000001376	Vps50	2030	1424	1472	1672	3123	2006
ENSMUSG00000001380	Hars	2137	1519	1620	2120	3509	2365
ENSMUSG00000001383	Zmat2	1188	1072	1017	1041	2063	1274
ENSMUSG00000001403	Ube2c	240	222	623	493	616	532
ENSMUSG00000001415	Smg5	2196	1612	2642	1892	3212	2238
ENSMUSG00000001416	Cct3	6513	4947	6499	6149	10105	6988
ENSMUSG00000001418	Glmp	2291	2385	2484	2732	4500	3414
ENSMUSG00000001419	Mef2d	952	768	745	538	1148	683
ENSMUSG00000001420	Tmem79	16	3	18	12	12	21
ENSMUSG00000001424	Snd1	7255	5805	7960	7042	10417	8251
ENSMUSG00000001435	Col18a1	7	1	22	12	20	1
ENSMUSG00000001436	Slc19a1	219	160	218	277	405	324
ENSMUSG00000001440	Kpnb1	8255	6761	8629	7592	13137	8700
ENSMUSG00000001441	Npepps	2615	1656	1203	1328	2904	1434
ENSMUSG00000001444	Tbx21	14	7	6	4	3	4
ENSMUSG00000001445	Mrpl10	1002	760	816	978	1470	1112
ENSMUSG00000001467	Cyp51	3018	1917	4281	2493	4385	4259
ENSMUSG00000001472	Tcf25	9474	7316	6389	6111	11027	7566
ENSMUSG00000001473	Tubb6	7172	6120	3657	6109	9534	6785
ENSMUSG00000001482	Def8	696	700	793	718	1144	868
ENSMUSG00000001497	Pax9	5	5	40	6	5	1
ENSMUSG00000001506	Col1a1	37	18	20	15	51	26
ENSMUSG00000001517	Foxm1	234	228	816	372	535	492
ENSMUSG00000001518	Itfg2	126	117	270	171	247	210
ENSMUSG00000001520	Nrip2	3	1	15	4	2	2
ENSMUSG00000001521	Tulp3	150	146	1152	203	237	219
ENSMUSG00000001524	Gtf2h4	378	286	392	390	646	515
ENSMUSG00000001525	Tubb5	27605	24365	30749	33055	45106	38147
ENSMUSG00000001542	Ell2	3195	2347	1106	1430	3069	1480
ENSMUSG00000001552	Jup	672	480	511	592	816	1029
ENSMUSG00000001555	Fkbp10	40	34	432	51	64	29
ENSMUSG00000001569	Nom1	974	788	854	876	1557	1035
ENSMUSG00000001576	Ergic1	2143	1778	1866	2069	3474	2251
ENSMUSG00000001588	Acap1	577	269	159	351	914	523
ENSMUSG00000001604	Tcea3	27	17	14	16	24	31
ENSMUSG00000001627	Ifrd1	11049	6903	3977	4150	10489	4625
ENSMUSG00000001630	Stk38l	360	250	260	221	442	286
ENSMUSG00000001632	Brpf1	2731	1912	1520	1772	3317	2083
ENSMUSG00000001642	Akr1b3	347	354	402	528	794	549
ENSMUSG00000001663	Gstt1	27	24	11	11	35	15
ENSMUSG00000001665	Gstt3	74	70	107	61	155	105
ENSMUSG00000001666	Ddt	286	265	340	262	431	275
ENSMUSG00000001674	Ddx18	290	326	373	259	576	328
ENSMUSG00000001687	Ubl3	5907	4118	4267	4653	8119	6026
ENSMUSG00000001700	Gramd3	147	140	113	97	186	105
ENSMUSG00000001707	Eef1e1	861	560	709	819	1529	857
ENSMUSG00000001729	Akt1	7244	5226	8917	7181	10266	8593
ENSMUSG00000001739	Cldn15	44	26	9	10	37	17
ENSMUSG00000001741	Il16	944	746	505	1014	2188	1251
ENSMUSG00000001750	Tcirg1	10261	6953	4557	5573	10813	6738
ENSMUSG00000001751	Naglu	2369	1934	2709	2530	3522	2974
ENSMUSG00000001755	Coasy	448	362	509	561	809	516
ENSMUSG00000001761	Smo	238	172	1098	360	416	358
ENSMUSG00000001763	Tspan33	51	56	32	32	53	84
ENSMUSG00000001767	Crnkl1	1432	1156	951	939	1805	1173
ENSMUSG00000001768	Rin2	5370	4638	2592	4177	8006	4901
ENSMUSG00000001774	Chordc1	1801	1097	1249	1485	3139	1882
ENSMUSG00000001783	Rtcb	3438	2909	3090	3406	5322	4316
ENSMUSG00000001785	Pwp1	1536	1095	1172	1419	2497	1640
ENSMUSG00000001786	Fbxo7	595	475	593	392	699	491
ENSMUSG00000001794	Capns1	8071	6110	4708	6890	11190	7911
ENSMUSG00000001819	Hoxd13	27	29	270	24	46	28
ENSMUSG00000001829	Clpb	876	697	866	856	1317	956
ENSMUSG00000001833	Sept7	8407	6090	4325	5067	11595	6078
ENSMUSG00000001844	Zdhhc4	397	372	388	343	575	399
ENSMUSG00000001847	Rac1	7987	7117	6284	8033	13884	9949
ENSMUSG00000001855	Nup214	866	696	801	644	1188	913
ENSMUSG00000001864	Aif1l	15	4	76	28	18	15
ENSMUSG00000001870	Ltbp1	16	12	48	6	4	6
ENSMUSG00000001891	Ugp2	5984	4663	11323	4418	7419	4260
ENSMUSG00000001901	Kcnh6	10	4	2	1	2	1
ENSMUSG00000001909	Trmt1	992	705	1074	905	1456	1032
ENSMUSG00000001910	Nacc1	1345	1178	1532	1289	2042	1631
ENSMUSG00000001911	Nfix	349	213	170	246	365	340
ENSMUSG00000001918	Slc1a5	1483	868	1541	1392	2324	1752
ENSMUSG00000001924	Uba1	10953	8095	8300	9199	13952	10419
ENSMUSG00000001930	Vwf	209	168	626	116	207	149
ENSMUSG00000001942	Siae	614	596	584	688	1223	847
ENSMUSG00000001946	Esam	7	4	6	1	10	2
ENSMUSG00000001948	Spa17	15	13	25	17	18	16
ENSMUSG00000001962	Fam50a	874	878	767	822	1611	1010
ENSMUSG00000001964	Emd	1197	996	863	983	1790	1205
ENSMUSG00000001983	Taco1	156	124	168	175	252	240
ENSMUSG00000001986	Gria3	14	12	10	11	11	11
ENSMUSG00000001995	Sipa1l2	2116	1472	1423	1856	3359	2138
ENSMUSG00000001998	Ap4e1	947	638	547	595	1363	766
ENSMUSG00000001999	Blvra	2353	1849	1464	2483	4574	2740
ENSMUSG00000002006	Pdzd4	15	7	80	17	20	27
ENSMUSG00000002010	Idh3g	2021	1552	1548	1970	3027	2344
ENSMUSG00000002012	Pnck	1	0	17	0	5	3
ENSMUSG00000002014	Ssr4	2975	2036	1672	2727	4347	3216
ENSMUSG00000002015	Bcap31	2971	2590	2131	2816	4912	3181
ENSMUSG00000002017	Fam98a	235	309	538	370	600	450
ENSMUSG00000002028	Kmt2a	637	572	627	367	817	600
ENSMUSG00000002031	Ift46	373	358	522	495	862	529
ENSMUSG00000002032	Tmem25	6	5	24	13	14	6
ENSMUSG00000002033	Cd3g	7	2	16	3	11	5
ENSMUSG00000002043	Trappc6a	589	455	691	593	836	654
ENSMUSG00000002052	Supt6	2912	2170	2395	2001	3888	2535
ENSMUSG00000002055	Spag5	448	413	1016	670	907	663
ENSMUSG00000002058	Unc119	933	620	884	777	1208	1206
ENSMUSG00000002059	Rab34	122	99	682	157	208	172
ENSMUSG00000002064	Sdf2	787	534	556	710	1204	898
ENSMUSG00000002068	Ccne1	293	276	488	351	475	419
ENSMUSG00000002083	Bbc3	239	175	139	158	254	179
ENSMUSG00000002100	Mybpc3	96	30	15	20	79	30
ENSMUSG00000002102	Psmc3	4980	3883	4297	4809	7001	5307
ENSMUSG00000002103	Acp2	4562	4590	2711	3539	6883	4467
ENSMUSG00000002104	Rapsn	81	77	379	207	266	241
ENSMUSG00000002105	Slc39a13	473	303	372	434	753	558
ENSMUSG00000002107	Celf2	4027	3363	3165	2921	6014	3952
ENSMUSG00000002108	Nr1h3	1147	1012	511	585	1069	789
ENSMUSG00000002109	Ddb2	80	55	85	57	130	61
ENSMUSG00000002111	Spi1	6117	4586	2642	4572	7548	5723
ENSMUSG00000002129	Sf3a1	1441	1415	2604	1778	2652	2105
ENSMUSG00000002147	Stat6	10674	7060	5110	7201	13752	8701
ENSMUSG00000002190	Clgn	1	2	7	6	10	3
ENSMUSG00000002204	Napsa	1681	1510	741	1416	2538	2664
ENSMUSG00000002205	Vrk3	553	393	391	513	818	644
ENSMUSG00000002210	Smg9	928	758	854	746	1180	867
ENSMUSG00000002221	Paxip1	516	353	521	373	726	486
ENSMUSG00000002222	Rmnd5a	2350	1866	1896	1715	3629	2345
ENSMUSG00000002227	Mov10	510	422	494	297	507	448
ENSMUSG00000002228	Ppm1j	5	7	12	9	15	20
ENSMUSG00000002233	Rhoc	928	1017	1175	1145	1697	1507
ENSMUSG00000002249	Tead3	2	7	37	3	10	10
ENSMUSG00000002250	Ppard	254	240	243	187	326	201
ENSMUSG00000002257	Def6	969	698	536	844	1318	1015
ENSMUSG00000002274	Metrn	511	431	1357	657	843	716
ENSMUSG00000002279	Lmf1	639	573	674	626	1001	798
ENSMUSG00000002280	Narfl	894	571	575	806	1354	989
ENSMUSG00000002289	Angptl4	130	112	86	113	175	132
ENSMUSG00000002297	Dbf4	933	830	1170	830	1515	1051
ENSMUSG00000002307	Daxx	2637	2008	1138	990	1892	1237
ENSMUSG00000002308	Cd320	97	72	221	139	174	133
ENSMUSG00000002319	Ipo4	1368	988	1219	1435	2288	1700
ENSMUSG00000002320	Tm9sf1	1153	877	933	1312	2178	1440
ENSMUSG00000002325	Irf9	3156	2465	1463	1787	3550	2218
ENSMUSG00000002326	Gmpr2	484	533	410	554	1049	710
ENSMUSG00000002329	Mdp1	378	277	269	376	652	460
ENSMUSG00000002332	Dhrs1	1412	1077	675	1234	1975	1314
ENSMUSG00000002342	Tmem161a	516	341	548	484	784	525
ENSMUSG00000002343	Armc6	316	198	231	389	570	500
ENSMUSG00000002345	Borcs8	279	242	271	268	435	294
ENSMUSG00000002346	Slc25a42	8	7	12	11	15	12
ENSMUSG00000002365	Snx9	2309	1785	1372	2054	3703	2527
ENSMUSG00000002372	Ranbp3	2205	1579	2138	1858	2844	2052
ENSMUSG00000002379	Ndufa11	788	676	796	765	1157	1012
ENSMUSG00000002393	Nr2f6	637	404	731	717	793	872
ENSMUSG00000002395	Use1	1776	1296	1050	1566	2346	1632
ENSMUSG00000002396	Ocel1	473	327	237	457	763	501
ENSMUSG00000002409	Dyrk1b	81	55	123	76	93	60
ENSMUSG00000002413	Braf	1698	1318	1155	850	1953	941
ENSMUSG00000002416	Ndufb2	758	502	807	737	1169	790
ENSMUSG00000002428	Hltf	1402	1036	1201	1003	1989	1278
ENSMUSG00000002455	Prpf6	1936	1554	1632	1532	2531	1754
ENSMUSG00000002458	Rgs19	1286	875	804	1231	2353	1459
ENSMUSG00000002475	Abhd3	12	6	16	6	14	15
ENSMUSG00000002477	Snrpd1	905	678	778	777	1458	917
ENSMUSG00000002486	Tchp	212	110	160	100	255	143
ENSMUSG00000002489	Tiam1	2235	1511	1042	1174	2574	2106
ENSMUSG00000002496	Tsc2	1000	761	1118	969	1457	1179
ENSMUSG00000002500	Rpl3l	30	14	5	4	25	9
ENSMUSG00000002504	Slc9a3r2	39	16	89	14	42	36
ENSMUSG00000002524	Puf60	3251	2166	3220	2851	4729	3208
ENSMUSG00000002546	Golga2	2070	1516	1515	1611	2694	1764
ENSMUSG00000002550	Uck1	341	252	308	292	522	300
ENSMUSG00000002565	Scin	32	16	4	31	93	64
ENSMUSG00000002580	Mien1	690	561	645	753	1181	849
ENSMUSG00000002602	Axl	9818	11564	6172	5564	8844	13003
ENSMUSG00000002603	Tgfb1	1368	1375	1278	1702	2534	2111
ENSMUSG00000002608	Ccdc97	359	287	324	267	534	312
ENSMUSG00000002617	Zfp40	157	139	121	107	277	157
ENSMUSG00000002625	Akap8l	672	455	609	447	888	493
ENSMUSG00000002635	Pdcd2l	621	432	437	557	901	621
ENSMUSG00000002658	Gtf2f1	2748	2130	1815	2117	3651	2474
ENSMUSG00000002660	Clpp	492	418	692	533	793	619
ENSMUSG00000002661	Alkbh7	235	195	232	239	359	297
ENSMUSG00000002668	Dennd1c	494	292	199	277	635	342
ENSMUSG00000002679	Med6	588	461	466	423	839	533
ENSMUSG00000002699	Lcp2	4856	4273	2083	2687	5700	3414
ENSMUSG00000002718	Cse1l	2267	1998	2630	2393	4108	2683
ENSMUSG00000002728	Naa20	1039	637	621	913	1636	1007
ENSMUSG00000002731	Prkra	528	405	548	561	903	621
ENSMUSG00000002732	Fkbp7	52	37	88	59	77	59
ENSMUSG00000002733	Plekha3	1208	848	1494	1085	1808	1162
ENSMUSG00000002741	Ykt6	2792	2146	2370	2900	4945	3463
ENSMUSG00000002748	Baz1b	4905	3605	3900	3416	6823	4536
ENSMUSG00000002763	Pex6	689	476	728	709	978	764
ENSMUSG00000002767	Mrpl2	888	727	966	1012	1496	999
ENSMUSG00000002768	Mea1	1123	739	966	977	1713	1052
ENSMUSG00000002769	Gnmt	10	2	2	4	3	8
ENSMUSG00000002778	Kdelr1	1289	988	1121	1281	2023	1459
ENSMUSG00000002781	Tmem143	223	186	300	304	361	293
ENSMUSG00000002797	Ggct	253	210	114	112	260	120
ENSMUSG00000002799	Jag2	57	31	45	50	107	111
ENSMUSG00000002803	Btbd6	117	86	155	198	263	227
ENSMUSG00000002804	Nudt14	139	108	229	177	220	190
ENSMUSG00000002808	Epdr1	38	25	342	36	53	33
ENSMUSG00000002812	Flii	7645	5588	4156	5391	9093	6689
ENSMUSG00000002814	Top3a	516	446	393	327	708	435
ENSMUSG00000002820	Atg4d	631	387	505	494	752	595
ENSMUSG00000002825	Qtrt1	311	172	255	314	453	371
ENSMUSG00000002833	Hdgfrp2	793	652	1187	763	1332	863
ENSMUSG00000002835	Chaf1a	674	593	1243	909	1113	998
ENSMUSG00000002844	Adprh	1906	1405	1081	1467	2372	1815
ENSMUSG00000002845	Tmem39a	709	440	434	495	1009	662
ENSMUSG00000002846	Timmdc1	437	289	468	406	657	494
ENSMUSG00000002847	Pla1a	164	99	44	88	196	96
ENSMUSG00000002870	Mcm2	2627	1949	5645	3004	4070	3261
ENSMUSG00000002871	Tpra1	791	609	897	1073	1682	1137
ENSMUSG00000002881	Nab1	3309	2148	1762	2031	3961	2156
ENSMUSG00000002885	Adgre5	6033	3084	2085	2384	5597	3475
ENSMUSG00000002897	Il17ra	4300	2419	1461	2342	4570	2838
ENSMUSG00000002900	Lamb1	62	49	566	66	73	64
ENSMUSG00000002908	Kcnn1	8	5	21	38	47	38
ENSMUSG00000002910	Arrdc2	236	184	170	178	278	181
ENSMUSG00000002944	Cd36	22067	21040	7987	12166	24703	11239
ENSMUSG00000002948	Map2k7	744	623	729	602	1109	755
ENSMUSG00000002949	Timm44	1214	765	939	899	1604	930
ENSMUSG00000002957	Ap2a2	9762	6292	5028	9005	15801	10993
ENSMUSG00000002963	Pnkp	1577	1042	940	1243	2215	1503
ENSMUSG00000002968	Med25	365	297	621	502	755	615
ENSMUSG00000002980	Bcam	25	5	12	18	26	43
ENSMUSG00000002981	Clptm1	4169	3513	3393	4237	6175	4503
ENSMUSG00000002983	Relb	1144	667	459	699	1385	957
ENSMUSG00000002984	Tomm40	1481	1176	1637	1507	2184	1668
ENSMUSG00000002985	Apoe	62315	55415	48830	78332	144073	84281
ENSMUSG00000002992	Apoc2	857	816	341	628	1176	584
ENSMUSG00000002996	Hbp1	2809	2250	1531	1616	3628	1952
ENSMUSG00000002997	Prkar2b	544	366	819	557	1007	557
ENSMUSG00000003031	Cdkn1b	2865	1698	2022	1221	2980	1460
ENSMUSG00000003032	Klf4	1161	829	468	761	1260	1211
ENSMUSG00000003033	Ap1m1	815	856	926	941	1591	1276
ENSMUSG00000003037	Rab8a	3673	2840	1968	2880	4752	3317
ENSMUSG00000003038	Hmgn2	267	214	269	229	365	272
ENSMUSG00000003039	Fam32a	1977	1474	1294	1477	3064	1923
ENSMUSG00000003062	Stard3nl	1299	1022	650	1103	1877	1179
ENSMUSG00000003068	Stk11	1948	1328	1415	1596	2772	2009
ENSMUSG00000003070	Efna2	7	1	4	6	5	12
ENSMUSG00000003072	Atp5d	1843	1883	2184	2190	2976	2613
ENSMUSG00000003099	Ppp5c	1241	961	1581	1231	1943	1347
ENSMUSG00000003119	Cdk12	2212	1824	1537	1319	3003	1949
ENSMUSG00000003123	Lipe	652	554	288	414	727	579
ENSMUSG00000003131	Pafah1b2	3547	2521	3302	3121	5549	3635
